"year","week","total.specimens","percent.positive","flu","cough.medicine","flu.vaccine","flu.shot","flu.pharm","median_tmax","median_tmin","median_t","total_prcp"
2010,40,"54","0",NA,NA,NA,NA,NA,68,50,59,0.61
2010,41,"57","1.75",NA,NA,NA,NA,NA,64,44,54,1.1
2010,42,"71","1.41",NA,NA,NA,NA,NA,61,40,50.5,0.04
2010,43,"77","2.6",NA,NA,NA,NA,NA,71,49,60,0.14
2010,44,"68","0",NA,NA,NA,NA,NA,50,36,43,1.3
2010,45,"64","1.56",NA,NA,NA,NA,NA,56,33,44.5,0.4
2010,46,"84","3.57",NA,NA,NA,NA,NA,53,43,48,1.32
2010,47,"79","2.53",NA,NA,NA,NA,NA,48,31,39.5,0.16
2010,48,"97","3.09",NA,NA,NA,NA,NA,44,29,36.5,0.9
2010,49,"112","20.54",NA,NA,NA,NA,NA,34,23,28.5,1.77
2010,50,"110","19.09",NA,NA,NA,NA,NA,34,18,26,0.03
2010,51,"143","31.47",NA,NA,NA,NA,NA,36,26,31,0.11
2010,52,"208","49.04",NA,NA,NA,NA,NA,37,20,28.5,0.05
2011,1,"273","45.05",11,35,18,8,4,35,23,29,0.16
2011,2,"265","38.49",10,25,6,4,18,30,19,24.5,0.54
2011,3,"276","51.09",8,30,3,3,16,29,17,23,0.75
2011,4,"239","41.84",5,31,4,1,3,31,10,20.5,0.5
2011,5,"287","45.99",4,19,3,2,92,28,14,21,1.05
2011,6,"291","42.96",3,32,0,1,0,35,13,24,0.26
2011,7,"404","48.27",3,17,6,1,0,51,19,35,0
2011,8,"363","49.59",3,12,9,2,101,38,18,28,1.68
2011,9,"326","42.02",9,19,18,20,1,44,25,34.5,2.21
2011,10,"322","36.34",16,29,44,50,14,NA,31,NA,1.8
2011,11,"316","31.65",10,22,24,22,1,48,30,39,0.39
2011,12,"297","25.25",9,34,15,11,1,44,31,37.5,0.19
2011,13,"250","21.6",NA,NA,NA,NA,NA,48,34,41,0.4
2011,14,"188","18.62",NA,NA,NA,NA,NA,57,36,46.5,0.31
2011,15,"162","14.81",NA,NA,NA,NA,NA,61,45,53,2.83
2011,16,"147","14.97",NA,NA,NA,NA,NA,56,43,49.5,0.63
2011,17,"146","6.16",NA,NA,NA,NA,NA,70,55,62.5,0.2
2011,18,"123","0.81",NA,NA,NA,NA,NA,71,43,57,0.43
2011,19,"115","0",NA,NA,NA,NA,NA,71,53,62,0.8
2011,20,"132","0",NA,NA,NA,NA,NA,65,53,59,2.04
2011,21,"118","2.54",NA,NA,NA,NA,NA,82,61,71.5,0.29
2011,22,"130","0",NA,NA,NA,NA,NA,79,59,69,0.74
2011,23,"94","0",NA,NA,NA,NA,NA,86,61,73.5,2.79
2011,24,"104","0",NA,NA,NA,NA,NA,82,59,70.5,1.01
2011,25,"108","0",NA,NA,NA,NA,NA,81,62,71.5,1.6
2011,26,NA,NA,NA,NA,NA,NA,NA,83,64,73.5,0.08
2011,27,NA,NA,NA,NA,NA,NA,NA,88,67,77.5,0.68
2011,28,"14","0",NA,NA,NA,NA,NA,90,68,79,0.06
2011,29,NA,NA,NA,NA,NA,NA,NA,91,73,82,0.03
2011,30,NA,NA,NA,NA,NA,NA,NA,85,66,75.5,0.58
2011,31,NA,NA,NA,NA,NA,NA,NA,87,68,77.5,0.62
2011,32,NA,NA,NA,NA,NA,NA,NA,84,68,76,2.85
2011,33,NA,NA,NA,NA,NA,NA,NA,84,65,74.5,0.43
2011,34,NA,NA,NA,NA,NA,NA,NA,80,65,72.5,4.46
2011,35,NA,NA,NA,NA,NA,NA,NA,82,60,71,0
2011,36,NA,NA,NA,NA,NA,NA,NA,78,60,69,3.53
2011,37,NA,NA,NA,NA,NA,NA,NA,79,52,65.5,0.01
2011,38,NA,NA,NA,NA,NA,NA,NA,79,68,73.5,1.57
2011,39,"10","0",NA,NA,NA,NA,NA,77,60,68.5,1.57
2011,40,NA,NA,NA,NA,NA,NA,NA,67,46,56.5,0.56
2011,41,"11","9.09",NA,NA,NA,NA,NA,66,54,60,2.16
2011,42,NA,NA,NA,NA,NA,NA,NA,62,50,56,0.85
2011,43,NA,NA,NA,NA,NA,NA,NA,50,34,42,1.73
2011,44,"97","0",NA,NA,NA,NA,NA,52,28,40,0
2011,45,"138","0",NA,NA,NA,NA,NA,62,38,50,0.54
2011,46,"123","0",NA,NA,NA,NA,NA,58,48,53,0.83
2011,47,"124","0",NA,NA,NA,NA,NA,54,32,43,1.34
2011,48,"128","0",NA,NA,NA,NA,NA,NA,NA,NA,0.87
2011,49,"144","0",NA,NA,NA,NA,NA,49,30,39.5,3.02
2011,50,"153","0",NA,NA,NA,NA,NA,47,27,37,0.05
2011,51,"164","0",NA,NA,NA,NA,NA,47,32,39.5,0.68
2011,52,"163","0.61",NA,NA,NA,NA,NA,47,29,38,0.82
2012,1,"197","0",9,32,11,6,1,42,25.5,33.75,0
2012,2,"205","0.98",10,39,9,4,14,42,25,33.5,0.8
2012,3,"204","0.98",7,26,7,2,85,32,17,24.5,0.34
2012,4,"222","2.25",6,20,8,2,2,44,34,39,0.82
2012,5,"127","3.94",4,13,4,2,11,45,29,37,0
2012,6,"177","2.26",3,31,3,1,1,47,24,35.5,0
2012,7,"177","2.82",3,20,4,3,0,46,32,39,0.11
2012,8,"158","2.53",5,13,11,6,0,44,32,38,0.55
2012,9,"192","5.21",10,32,38,20,82,42,30,36,0.97
2012,10,"186","9.14",17,36,45,50,89,57,30,43.5,0.13
2012,11,"187","16.04",11,39,17,26,2,68,41,54.5,0.04
2012,12,"226","20.8",18,61,19,16,15,74,50,62,0.03
2012,13,"180","15.56",NA,NA,NA,NA,NA,53,34,43.5,0.38
2012,14,"183","15.85",NA,NA,NA,NA,NA,59,39,49,0
2012,15,"234","20.51",NA,NA,NA,NA,NA,62,43,52.5,0.08
2012,16,"220","20",NA,NA,NA,NA,NA,74,50,62,1.89
2012,17,"195","16.41",NA,NA,NA,NA,NA,60,40,50,0.83
2012,18,"151","13.25",NA,NA,NA,NA,NA,63,50,56.5,0.71
2012,19,"157","3.82",NA,NA,NA,NA,NA,68,49,58.5,0.78
2012,20,"189","5.29",NA,NA,NA,NA,NA,73,51,62,0.85
2012,21,"124","5.65",NA,NA,NA,NA,NA,78,60,69,0.49
2012,22,"145","4.83",NA,NA,NA,NA,NA,78,63,70.5,2.21
2012,23,"120","0.83",NA,NA,NA,NA,NA,76,53,64.5,0.18
2012,24,"121","0",NA,NA,NA,NA,NA,75,58,66.5,0.86
2012,25,"102","0.98",NA,NA,NA,NA,NA,86,64,75,1.34
2012,26,"112","0",NA,NA,NA,NA,NA,86,62,74,0.82
2012,27,"107","0",NA,NA,NA,NA,NA,90,68,79,0.08
2012,28,"98","1.02",NA,NA,NA,NA,NA,87,66,76.5,0.25
2012,29,"88","0",NA,NA,NA,NA,NA,84,70,77,0.45
2012,30,"100","0",NA,NA,NA,NA,NA,85,68,76.5,2.9
2012,31,"121","0",NA,NA,NA,NA,NA,90,69,79.5,1.04
2012,32,"99","0",NA,NA,NA,NA,NA,85,69,77,2.22
2012,33,"111","0.9",NA,NA,NA,NA,NA,82,64,73,1.28
2012,34,"107","0",NA,NA,NA,NA,NA,83,63,73,0
2012,35,"98","1.02",NA,NA,NA,NA,NA,86,61,73.5,0.19
