"year","week","total.specimens","percent.positive","cough_medicine","flu_clinic","flu_shot","flu_vaccine","flu","influenza","oseltamivir","relenza","tamiflu","zanamivir","median_tmax","median_tmin","median_t","total_prcp","humidity"
2010,40,54,0,55.125,120.718085106383,85.207100591716,44.6153846153846,17.7906976744186,35,18,0,3.33333333333333,0,63,50,56.5,0.61,80
2010,41,57,1.75,55.125,165.691489361702,47.9289940828402,55.3846153846154,20.7558139534884,29,18,0,3.33333333333333,0,64,44,54,1.1,65
2010,42,71,1.41,81.15625,80.4787234042553,76.3313609467456,32.3076923076923,16.8023255813954,14,18,0,2,0,61,40,50.5,0.04,61
2010,43,77,2.6,53.59375,89,53.2544378698225,64.6153846153846,14.8255813953488,14,90,0,2,0,71,49,60,0.14,65
2010,44,68,0,49,78.1117021276596,37.2781065088757,63.0769230769231,14.8255813953488,28,18,0,3.33333333333333,0,52,36,44,1.3,69
2010,45,64,1.56,18,0,53.9759036144578,19,14.56,14.2222222222222,0,0,2,0,56,35,45.5,0.4,62
2010,46,84,3.57,17.4857142857143,0,42.1686746987952,19,15.6,14.2222222222222,0,0,2,0,55,43,49,1.32,64
2010,47,79,2.53,19.5428571428571,0,21.9277108433735,20.3571428571429,13.52,15.2380952380952,0,0,2,0,48,33,40.5,0.16,54
2010,48,97,3.09,16.9714285714286,0,21.9277108433735,17.6428571428571,8.32,20.3174603174603,0,0,2,0,46,29,37.5,0.9,60
2010,49,112,20.54,69.6356275303644,0,23.4418604651163,22,10.4761904761905,12.3809523809524,0,0,1.88235294117647,0,34,23,28.5,0,54
2010,50,110,19.09,47.3522267206478,0,9.11627906976744,62.8571428571428,7.61904761904762,32.3809523809524,0,0,1,0,36,18,27,1.8,59
2010,51,143,31.47,55.0121457489879,0,16.9302325581395,25.1428571428571,9.52380952380952,15.2380952380952,0,0,1,0,36,26,31,0,54
2010,52,208,49.04,43,0,6.51162790697674,22,12.3809523809524,15,0,0,2.11764705882353,0,37,22,29.5,0.16,56.5
2011,1,273,45.05,76.5,12,22.2222222222222,28.3333333333333,15.7142857142857,17.8861788617886,0,0,10,0,36,23,29.5,0.17,62
2011,2,265,38.49,51,12,9.72222222222222,28.3333333333333,12.3469387755102,21.9512195121951,0,0,4,0,30,19,24.5,0.54,56
2011,3,276,51.09,51,12,4.16666666666667,17,8.97959183673469,32.520325203252,0,0,4,0,31,19,25,0.75,77
2011,4,239,41.84,76.5,12,5.55555555555555,28.3333333333333,11.2244897959184,21.1382113821138,0,0,5,0,31,10,20.5,0.5,79
2011,5,287,45.99,51,60,8.33333333333333,17,6.73469387755102,6.50406504065041,0,0,5,0,28,14,21,1.05,78
2011,6,291,42.96,21.281045751634,13,3.2,7,11.4285714285714,6.26086956521739,0,0,6.31578947368421,0,35,13,24,0.26,44
2011,7,404,48.27,31.921568627451,13,6.4,14,7.61904761904762,4.52173913043478,0,0,6.31578947368421,0,51,23,37,0,38
