"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Oct-21-2018)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2010-11,2010,40,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,41,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,42,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,43,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,44,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,45,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,46,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,47,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,48,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,49,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,50,0-4 yr,0,0
Connecticut,EIP,2010-11,2010,51,0-4 yr,0.9,0.9
Connecticut,EIP,2010-11,2010,52,0-4 yr,2.8,1.9
Connecticut,EIP,2010-11,2011,1,0-4 yr,2.8,0
Connecticut,EIP,2010-11,2011,2,0-4 yr,6.5,3.7
Connecticut,EIP,2010-11,2011,3,0-4 yr,8.4,1.9
Connecticut,EIP,2010-11,2011,4,0-4 yr,12.1,3.7
Connecticut,EIP,2010-11,2011,5,0-4 yr,16.8,4.7
Connecticut,EIP,2010-11,2011,6,0-4 yr,18.7,1.9
Connecticut,EIP,2010-11,2011,7,0-4 yr,18.7,0
Connecticut,EIP,2010-11,2011,8,0-4 yr,21.5,2.8
Connecticut,EIP,2010-11,2011,9,0-4 yr,22.4,0.9
Connecticut,EIP,2010-11,2011,10,0-4 yr,23.4,0.9
Connecticut,EIP,2010-11,2011,11,0-4 yr,23.4,0
Connecticut,EIP,2010-11,2011,12,0-4 yr,27.1,3.7
Connecticut,EIP,2010-11,2011,13,0-4 yr,27.1,0
Connecticut,EIP,2010-11,2011,14,0-4 yr,28,0.9
Connecticut,EIP,2010-11,2011,15,0-4 yr,28,0
Connecticut,EIP,2010-11,2011,16,0-4 yr,29.9,1.9
Connecticut,EIP,2010-11,2011,17,0-4 yr,29.9,0
Connecticut,EIP,2010-11,2010,40,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,41,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,42,5-17 yr,0,0
