Category: All categories

Week,cough medicine: (Connecticut)
2010-10-03,36
2010-10-10,36
2010-10-17,53
2010-10-24,35
2010-10-31,0
2010-11-07,35
2010-11-14,34
2010-11-21,38
2010-11-28,33
2010-12-05,100
2010-12-12,68
2010-12-19,79
2010-12-26,0
2011-01-02,33
2011-01-09,22
2011-01-16,22
2011-01-23,33
2011-01-30,0
2011-02-06,22
2011-02-13,33
2011-02-20,34
2011-02-27,64
2011-03-06,66
2011-03-13,23
2011-03-20,43
2011-03-27,43
2011-04-03,22
2011-04-10,21
2011-04-17,23
2011-04-24,22
2011-05-01,22
2011-05-08,0
2011-05-15,22
2011-05-22,23
2011-05-29,24
2011-06-05,23
2011-06-12,67
2011-06-19,22
2011-06-26,25
2011-07-03,0
2011-07-10,0
2011-07-17,23
2011-07-24,23
2011-07-31,0
2011-08-07,23
2011-08-14,0
2011-08-21,22
2011-08-28,0
2011-09-04,0
2011-09-11,31
2011-09-18,41
2011-09-25,20
2011-10-02,62
2011-10-09,20
2011-10-16,40
2011-10-23,31
2011-10-30,26
2011-11-06,30
2011-11-13,29
2011-11-20,0
2011-11-27,19
2011-12-04,19
2011-12-11,19
2011-12-18,20
2011-12-25,32
2012-01-01,29
2012-01-08,36
2012-01-15,0
2012-01-22,27
2012-01-29,36
2012-02-05,18
2012-02-12,35
2012-02-19,55
2012-02-26,45
2012-03-04,28
2012-03-11,19
2012-03-18,19
2012-03-25,19
2012-04-01,19
2012-04-08,59
2012-04-15,0
2012-04-22,18
2012-04-29,0
2012-05-06,18
2012-05-13,0
2012-05-20,37
2012-05-27,19
2012-06-03,28
2012-06-10,0
2012-06-17,19
2012-06-24,19
2012-07-01,0
2012-07-08,0
2012-07-15,38
2012-07-22,19
2012-07-29,57
2012-08-05,19
2012-08-12,0
2012-08-19,0
2012-08-26,19
2012-09-02,27
2012-09-09,51
2012-09-16,0
2012-09-23,18
2012-09-30,87
2012-10-07,35
2012-10-14,17
2012-10-21,34
2012-10-28,0
2012-11-04,58
2012-11-11,17
2012-11-18,27
2012-11-25,77
2012-12-02,24
2012-12-09,17
2012-12-16,31
2012-12-23,43
2012-12-30,43
2013-01-06,39
2013-01-13,36
2013-01-20,17
2013-01-27,31
2013-02-03,78
2013-02-10,16
2013-02-17,40
2013-02-24,46
2013-03-03,31
2013-03-10,31
2013-03-17,23
2013-03-24,39
2013-03-31,15
2013-04-07,46
2013-04-14,16
2013-04-21,31
2013-04-28,24
2013-05-05,15
2013-05-12,16
2013-05-19,31
2013-05-26,34
2013-06-02,31
2013-06-09,31
2013-06-16,0
2013-06-23,33
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,16
2013-07-28,16
2013-08-04,16
2013-08-11,0
2013-08-18,32
2013-08-25,15
2013-09-01,16
2013-09-08,22
2013-09-15,30
2013-09-22,31
2013-09-29,30
2013-10-06,0
2013-10-13,38
2013-10-20,23
2013-10-27,30
2013-11-03,15
2013-11-10,15
2013-11-17,36
2013-11-24,15
2013-12-01,14
2013-12-08,21
2013-12-15,22
2013-12-22,51
2013-12-29,53
2014-01-05,63
2014-01-12,21
2014-01-19,21
2014-01-26,28
2014-02-02,28
2014-02-09,34
2014-02-16,35
2014-02-23,48
2014-03-02,14
2014-03-09,21
2014-03-16,44
2014-03-23,71
2014-03-30,36
2014-04-06,38
2014-04-13,24
2014-04-20,30
2014-04-27,22
2014-05-04,15
2014-05-11,24
2014-05-18,11
2014-05-25,0
2014-06-01,16
2014-06-08,18
2014-06-15,38
2014-06-22,19
2014-06-29,20
2014-07-06,19
2014-07-13,18
2014-07-20,19
2014-07-27,18
2014-08-03,21
2014-08-10,21
2014-08-17,22
2014-08-24,21
2014-08-31,31
2014-09-07,19
2014-09-14,20
2014-09-21,20
2014-09-28,20
2014-10-05,20
2014-10-12,30
2014-10-19,39
2014-10-26,49
2014-11-02,48
2014-11-09,19
2014-11-16,20
2014-11-23,33
2014-11-30,37
2014-12-07,48
2014-12-14,41
2014-12-21,38
2014-12-28,50
2015-01-04,30
2015-01-11,49
2015-01-18,30
2015-01-25,20
2015-02-01,39
2015-02-08,19
2015-02-15,48
2015-02-22,37
2015-03-01,0
2015-03-08,20
2015-03-15,30
2015-03-22,21
2015-03-29,39
2015-04-05,39
2015-04-12,32
2015-04-19,0
2015-04-26,0
2015-05-03,40
2015-05-10,21
2015-05-17,53
2015-05-24,44
2015-05-31,0
2015-06-07,20
2015-06-14,84
2015-06-21,20
2015-06-28,38
2015-07-05,0
2015-07-12,19
2015-07-19,29
2015-07-26,37
2015-08-02,0
2015-08-09,38
2015-08-16,0
2015-08-23,18
2015-08-30,18
2015-09-06,17
2015-09-13,25
2015-09-20,50
