Category: All categories

Week,flu: (Connecticut)
2010-10-03,18
2010-10-10,21
2010-10-17,17
2010-10-24,15
2010-10-31,15
2010-11-07,14
2010-11-14,15
2010-11-21,13
2010-11-28,8
2010-12-05,11
2010-12-12,8
2010-12-19,10
2010-12-26,13
2011-01-02,14
2011-01-09,11
2011-01-16,8
2011-01-23,10
2011-01-30,6
2011-02-06,12
2011-02-13,8
2011-02-20,10
2011-02-27,12
2011-03-06,9
2011-03-13,7
2011-03-20,8
2011-03-27,6
2011-04-03,8
2011-04-10,8
2011-04-17,3
2011-04-24,4
2011-05-01,5
2011-05-08,6
2011-05-15,3
2011-05-22,4
2011-05-29,4
2011-06-05,4
2011-06-12,2
2011-06-19,2
2011-06-26,2
2011-07-03,1
2011-07-10,3
2011-07-17,3
2011-07-24,1
2011-07-31,2
2011-08-07,2
2011-08-14,4
2011-08-21,6
2011-08-28,3
2011-09-04,5
2011-09-11,9
2011-09-18,12
2011-09-25,14
2011-10-02,18
2011-10-09,14
2011-10-16,18
2011-10-23,17
2011-10-30,13
2011-11-06,11
2011-11-13,11
2011-11-20,10
2011-11-27,11
2011-12-04,9
2011-12-11,8
2011-12-18,7
2011-12-25,10
2012-01-01,8
2012-01-08,8
2012-01-15,8
2012-01-22,9
2012-01-29,7
2012-02-05,7
2012-02-12,12
2012-02-19,13
2012-02-26,7
2012-03-04,5
2012-03-11,7
2012-03-18,4
2012-03-25,4
2012-04-01,6
2012-04-08,7
2012-04-15,5
2012-04-22,4
2012-04-29,4
2012-05-06,4
2012-05-13,4
2012-05-20,3
2012-05-27,4
2012-06-03,4
2012-06-10,4
2012-06-17,3
2012-06-24,2
2012-07-01,4
2012-07-08,3
2012-07-15,1
2012-07-22,3
2012-07-29,4
2012-08-05,5
2012-08-12,3
2012-08-19,4
2012-08-26,6
2012-09-02,6
2012-09-09,8
2012-09-16,10
2012-09-23,15
2012-09-30,15
2012-10-07,19
2012-10-14,19
2012-10-21,18
2012-10-28,11
2012-11-04,11
2012-11-11,12
2012-11-18,10
2012-11-25,13
2012-12-02,20
2012-12-09,19
2012-12-16,15
2012-12-23,17
2012-12-30,22
2013-01-06,84
2013-01-13,100
2013-01-20,47
2013-01-27,29
2013-02-03,20
2013-02-10,14
2013-02-17,13
2013-02-24,11
2013-03-03,9
2013-03-10,8
2013-03-17,10
2013-03-24,9
2013-03-31,10
2013-04-07,11
2013-04-14,9
2013-04-21,10
2013-04-28,8
2013-05-05,4
2013-05-12,4
2013-05-19,4
2013-05-26,3
2013-06-02,3
2013-06-09,3
2013-06-16,4
2013-06-23,3
2013-06-30,3
2013-07-07,1
2013-07-14,3
2013-07-21,3
2013-07-28,4
2013-08-04,4
2013-08-11,3
2013-08-18,2
2013-08-25,4
2013-09-01,7
2013-09-08,10
2013-09-15,14
2013-09-22,18
2013-09-29,21
2013-10-06,18
2013-10-13,18
2013-10-20,20
2013-10-27,20
2013-11-03,14
2013-11-10,12
2013-11-17,14
2013-11-24,10
2013-12-01,11
2013-12-08,13
2013-12-15,12
2013-12-22,14
2013-12-29,25
2014-01-05,31
2014-01-12,31
2014-01-19,26
2014-01-26,24
2014-02-02,18
2014-02-09,12
2014-02-16,12
2014-02-23,8
2014-03-02,13
2014-03-09,13
2014-03-16,12
2014-03-23,14
2014-03-30,16
2014-04-06,14
2014-04-13,9
2014-04-20,10
2014-04-27,8
2014-05-04,7
2014-05-11,6
2014-05-18,5
2014-05-25,4
2014-06-01,4
2014-06-08,5
2014-06-15,3
2014-06-22,3
2014-06-29,3
2014-07-06,4
2014-07-13,4
2014-07-20,5
2014-07-27,5
2014-08-03,4
2014-08-10,4
2014-08-17,5
2014-08-24,5
2014-08-31,6
2014-09-07,12
2014-09-14,15
2014-09-21,18
2014-09-28,21
2014-10-05,30
2014-10-12,31
2014-10-19,24
2014-10-26,20
2014-11-02,17
2014-11-09,18
2014-11-16,10
2014-11-23,11
2014-11-30,14
2014-12-07,16
2014-12-14,16
2014-12-21,12
2014-12-28,25
2015-01-04,26
2015-01-11,23
2015-01-18,26
2015-01-25,19
2015-02-01,19
2015-02-08,18
2015-02-15,14
2015-02-22,12
2015-03-01,11
2015-03-08,10
2015-03-15,14
2015-03-22,12
2015-03-29,13
2015-04-05,10
2015-04-12,10
2015-04-19,8
2015-04-26,7
2015-05-03,5
2015-05-10,6
2015-05-17,6
2015-05-24,5
2015-05-31,4
2015-06-07,4
2015-06-14,4
2015-06-21,3
2015-06-28,3
2015-07-05,4
2015-07-12,3
2015-07-19,3
2015-07-26,4
2015-08-02,3
2015-08-09,2
2015-08-16,5
2015-08-23,4
2015-08-30,6
2015-09-06,7
2015-09-13,8
2015-09-20,14
