Category: All categories

Week,flu clinic: (Connecticut)
2010-10-03,51
2010-10-10,70
2010-10-17,34
2010-10-24,0
2010-10-31,33
2010-11-07,67
2010-11-14,0
2010-11-21,0
2010-11-28,32
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,20
2011-02-06,0
2011-02-13,0
2011-02-20,0
2011-02-27,0
2011-03-06,0
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,0
2011-04-17,0
2011-04-24,21
2011-05-01,0
2011-05-08,0
2011-05-15,21
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,0
2011-09-11,20
2011-09-18,39
2011-09-25,19
2011-10-02,20
2011-10-09,28
2011-10-16,39
2011-10-23,100
2011-10-30,25
2011-11-06,19
2011-11-13,19
2011-11-20,42
2011-11-27,0
2011-12-04,18
2011-12-11,18
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,17
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,18
2012-09-02,17
2012-09-09,0
2012-09-16,51
2012-09-23,33
2012-09-30,17
2012-10-07,25
2012-10-14,57
2012-10-21,25
2012-10-28,18
2012-11-04,16
2012-11-11,33
2012-11-18,0
2012-11-25,0
2012-12-02,31
2012-12-09,17
2012-12-16,7
2012-12-23,6
2012-12-30,13
2013-01-06,52
2013-01-13,43
2013-01-20,32
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,15
2013-02-24,15
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,15
2013-06-09,15
2013-06-16,16
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,16
2013-07-21,16
2013-07-28,0
2013-08-04,0
2013-08-11,32
2013-08-18,0
2013-08-25,0
2013-09-01,30
2013-09-08,29
2013-09-15,14
2013-09-22,44
2013-09-29,29
2013-10-06,29
2013-10-13,22
2013-10-20,43
2013-10-27,22
2013-11-03,21
2013-11-10,21
2013-11-17,21
2013-11-24,15
2013-12-01,13
2013-12-08,0
2013-12-15,14
2013-12-22,16
2013-12-29,0
2014-01-05,13
2014-01-12,21
2014-01-19,13
2014-01-26,13
2014-02-02,0
2014-02-09,13
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,14
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,14
2014-04-13,15
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,20
2014-08-31,0
2014-09-07,19
2014-09-14,38
2014-09-21,38
2014-09-28,0
2014-10-05,96
2014-10-12,29
2014-10-19,47
2014-10-26,19
2014-11-02,19
2014-11-09,37
2014-11-16,56
2014-11-23,0
2014-11-30,18
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,19
2015-01-11,19
2015-01-18,19
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,19
2015-02-22,18
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,20
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,19
2015-04-26,0
2015-05-03,0
2015-05-10,20
2015-05-17,41
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,18
2015-08-23,18
2015-08-30,17
2015-09-06,17
2015-09-13,0
2015-09-20,24
