Category: All categories

Week,flu clinic: (Connecticut)
2015-09-27,42
2015-10-04,34
2015-10-11,86
2015-10-18,51
2015-10-25,33
2015-11-01,33
2015-11-08,49
2015-11-15,33
2015-11-22,0
2015-11-29,0
2015-12-06,16
2015-12-13,0
2015-12-20,0
2015-12-27,35
2016-01-03,0
2016-01-10,0
2016-01-17,25
2016-01-24,0
2016-01-31,0
2016-02-07,12
2016-02-14,0
2016-02-21,12
2016-02-28,0
2016-03-06,12
2016-03-13,13
2016-03-20,12
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,13
2016-05-15,26
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,13
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,13
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,13
2016-09-04,25
2016-09-11,24
2016-09-18,24
2016-09-25,18
2016-10-02,48
2016-10-09,12
2016-10-16,43
2016-10-23,24
2016-10-30,0
2016-11-06,29
2016-11-13,24
2016-11-20,0
2016-11-27,11
2016-12-04,0
2016-12-11,0
2016-12-18,12
2016-12-25,13
2017-01-01,0
2017-01-08,12
2017-01-15,0
2017-01-22,0
2017-01-29,22
2017-02-05,11
2017-02-12,22
2017-02-19,23
2017-02-26,11
2017-03-05,11
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,11
2017-04-09,12
2017-04-16,0
2017-04-23,0
2017-04-30,17
2017-05-07,11
2017-05-14,0
2017-05-21,0
2017-05-28,12
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,13
2017-07-30,0
2017-08-06,0
2017-08-13,13
2017-08-20,13
2017-08-27,12
2017-09-03,12
2017-09-10,29
2017-09-17,12
2017-09-24,47
2017-10-01,23
2017-10-08,17
2017-10-15,23
2017-10-22,34
2017-10-29,28
2017-11-05,22
2017-11-12,16
2017-11-19,23
2017-11-26,16
2017-12-03,11
2017-12-10,21
2017-12-17,33
2017-12-24,0
2017-12-31,0
2018-01-07,27
2018-01-14,32
2018-01-21,100
2018-01-28,68
2018-02-04,52
2018-02-11,32
2018-02-18,11
2018-02-25,10
2018-03-04,16
2018-03-11,22
2018-03-18,21
2018-03-25,16
2018-04-01,10
2018-04-08,11
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,21
2018-05-13,0
2018-05-20,11
2018-05-27,0
2018-06-03,16
2018-06-10,0
2018-06-17,11
2018-06-24,0
2018-07-01,12
2018-07-08,23
2018-07-15,0
2018-07-22,11
2018-07-29,0
2018-08-05,12
2018-08-12,34
2018-08-19,0
2018-08-26,11
2018-09-02,11
2018-09-09,11
2018-09-16,22
2018-09-23,44
2018-09-30,32
