Category: All categories

Week,flu vaccine: (Connecticut)
2015-09-27,45
2015-10-04,75
2015-10-11,65
2015-10-18,60
2015-10-25,45
2015-11-01,53
2015-11-08,31
2015-11-15,44
2015-11-22,15
2015-11-29,34
2015-12-06,17
2015-12-13,35
2015-12-20,10
2015-12-27,29
2016-01-03,21
2016-01-10,0
2016-01-17,7
2016-01-24,10
2016-01-31,7
2016-02-07,23
2016-02-14,13
2016-02-21,19
2016-02-28,6
2016-03-06,13
2016-03-13,21
2016-03-20,20
2016-03-27,7
2016-04-03,0
2016-04-10,14
2016-04-17,21
2016-04-24,0
2016-05-01,6
2016-05-08,0
2016-05-15,0
2016-05-22,14
2016-05-29,7
2016-06-05,0
2016-06-12,7
2016-06-19,7
2016-06-26,14
2016-07-03,7
2016-07-10,14
2016-07-17,21
2016-07-24,7
2016-07-31,28
2016-08-07,15
2016-08-14,8
2016-08-21,11
2016-08-28,28
2016-09-04,24
2016-09-11,30
2016-09-18,65
2016-09-25,59
2016-10-02,36
2016-10-09,40
2016-10-16,33
2016-10-23,43
2016-10-30,33
2016-11-06,28
2016-11-13,32
2016-11-20,7
2016-11-27,18
2016-12-04,15
2016-12-11,15
2016-12-18,20
2016-12-25,14
2017-01-01,0
2017-01-08,28
2017-01-15,28
2017-01-22,27
2017-01-29,6
2017-02-05,9
2017-02-12,6
2017-02-19,15
2017-02-26,14
2017-03-05,12
2017-03-12,0
2017-03-19,21
2017-03-26,9
2017-04-02,18
2017-04-09,10
2017-04-16,12
2017-04-23,12
2017-04-30,12
2017-05-07,6
2017-05-14,20
2017-05-21,7
2017-05-28,7
2017-06-04,10
2017-06-11,7
2017-06-18,7
2017-06-25,7
2017-07-02,18
2017-07-09,0
2017-07-16,21
2017-07-23,7
2017-07-30,14
2017-08-06,7
2017-08-13,11
2017-08-20,10
2017-08-27,20
2017-09-03,25
2017-09-10,19
2017-09-17,41
2017-09-24,25
2017-10-01,63
2017-10-08,52
2017-10-15,59
2017-10-22,43
2017-10-29,43
2017-11-05,18
2017-11-12,32
2017-11-19,12
2017-11-26,54
2017-12-03,40
2017-12-10,34
2017-12-17,18
2017-12-24,23
2017-12-31,12
2018-01-07,63
2018-01-14,83
2018-01-21,100
2018-01-28,80
2018-02-04,65
2018-02-11,63
2018-02-18,29
2018-02-25,11
2018-03-04,11
2018-03-11,15
2018-03-18,17
2018-03-25,12
2018-04-01,14
2018-04-08,6
2018-04-15,17
2018-04-22,11
2018-04-29,17
2018-05-06,6
2018-05-13,6
2018-05-20,12
2018-05-27,6
2018-06-03,0
2018-06-10,6
2018-06-17,6
2018-06-24,6
2018-07-01,6
2018-07-08,6
2018-07-15,0
2018-07-22,12
2018-07-29,9
2018-08-05,6
2018-08-12,6
2018-08-19,0
2018-08-26,15
2018-09-02,24
2018-09-09,14
2018-09-16,38
2018-09-23,47
2018-09-30,88
