month,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir,flu_symptoms
2010-10,49,89,60,52,17,24,18,0,2,0,6
2010-11,18,0,35,19,13,16,0,0,2,0,10
2010-12,43,0,14,22,10,15,0,0,1,0,8
2011-01,51,12,10,17,11,20,0,0,4,0,14
2011-02,37,13,4,7,10,8,0,0,6,0,11
2011-03,22,0,4,10,9,30,0,100,6,0,9
2011-04,35,13,2,11,6,13,0,0,7,0,7
2011-05,16,13,2,0,4,18,0,0,1,100,3
2011-06,28,0,0,0,3,10,0,0,0,0,2
2011-07,8,0,0,19,2,6,0,0,0,0,2
2011-08,8,0,4,9,4,14,0,0,1,0,2
2011-09,22,24,31,30,11,18,0,100,1,0,7
2011-10,29,35,63,53,18,18,0,0,3,0,11
2011-11,26,41,28,30,11,16,0,0,3,0,8
2011-12,20,11,16,20,9,22,0,0,1,0,10
2012-01,35,10,8,4,9,13,0,0,1,0,8
2012-02,40,11,4,16,10,27,9,88,2,0,9
2012-03,20,0,4,15,6,22,0,87,3,0,7
2012-04,24,0,2,5,6,11,10,0,2,0,7
2012-05,16,0,3,7,4,19,9,0,2,0,4
2012-06,24,0,1,5,4,16,0,0,0,0,4
2012-07,10,11,5,4,3,10,0,0,0,0,1
2012-08,26,11,8,13,6,6,0,0,1,0,3
2012-09,22,35,25,40,10,17,0,85,1,0,5
2012-10,30,100,72,65,17,21,0,80,1,0,9
2012-11,45,38,30,28,11,20,0,0,3,78,6
2012-12,55,30,23,17,19,34,4,0,11,0,17
2013-01,77,64,77,84,57,53,6,0,41,0,60
2013-02,59,19,12,11,17,24,0,0,10,0,19
2013-03,35,0,5,18,10,20,0,0,5,0,11
2013-04,30,0,3,12,10,22,8,0,4,0,9
2013-05,14,0,2,5,4,13,0,0,1,0,2
2013-06,29,9,2,9,4,14,0,77,1,0,2
2013-07,11,9,2,4,3,5,8,0,1,0,3
2013-08,22,0,2,15,4,7,8,0,1,0,2
2013-09,22,48,40,54,14,23,0,72,2,0,5
2013-10,34,83,79,75,21,19,7,0,2,0,8
2013-11,32,26,41,42,13,16,0,0,2,0,6
2013-12,57,29,23,15,13,20,0,69,6,0,10
2014-01,68,19,43,34,29,34,14,0,19,0,24
2014-02,27,8,9,15,15,27,8,0,9,0,15
2014-03,42,16,6,11,14,25,7,0,13,0,15
2014-04,35,9,5,7,12,27,0,0,10,0,13
2014-05,21,0,2,6,6,11,0,0,2,0,4
2014-06,14,0,2,2,3,10,0,0,1,0,2
2014-07,22,0,3,9,4,9,0,0,2,0,2
2014-08,11,18,7,20,5,17,0,0,1,0,3
2014-09,35,56,35,42,13,26,30,0,1,0,6
2014-10,27,49,99,100,27,26,19,0,1,0,7
2014-11,36,23,43,34,14,21,0,0,4,0,8
2014-12,51,12,30,45,17,38,0,0,14,0,13
2015-01,49,22,18,30,25,31,20,94,28,0,27
2015-02,51,12,9,10,18,25,0,0,12,0,24
2015-03,48,11,6,8,13,31,0,0,11,0,15
2015-04,35,11,3,16,9,19,15,0,7,90,7
2015-05,40,12,2,3,6,25,0,0,2,0,3
2015-06,24,0,1,6,5,11,0,0,2,0,3
2015-07,26,10,2,10,3,8,0,0,2,0,2
2015-08,26,32,4,16,4,10,0,0,2,0,1
2015-09,24,29,26,40,10,18,9,0,1,77,3
2015-10,42,89,90,71,23,23,8,0,1,0,10
2015-11,43,32,44,42,14,12,0,0,4,0,9
2015-12,65,27,19,20,12,16,0,0,3,0,10
2016-01,76,20,13,16,11,13,9,0,2,0,10
2016-02,47,7,9,11,15,31,6,0,10,55,14
2016-03,57,6,6,8,21,32,12,54,21,0,23
2016-04,56,7,4,14,12,23,0,0,9,55,14
2016-05,17,13,1,7,8,17,0,0,3,0,5
2016-06,41,0,2,2,4,8,0,0,2,0,3
2016-07,22,7,3,6,4,11,0,0,1,0,2
2016-08,29,7,7,19,4,9,6,0,1,0,2
2016-09,36,30,39,45,12,17,6,0,2,0,5
2016-10,53,62,76,49,20,18,0,0,1,0,7
2016-11,60,45,45,29,14,15,0,0,2,0,7
2016-12,83,9,30,15,15,19,14,0,6,49,12
2017-01,78,6,25,27,25,31,8,0,18,0,20
2017-02,51,13,14,18,25,37,29,55,27,0,25
2017-03,59,9,7,9,13,19,23,0,11,46,11
2017-04,74,6,4,10,9,21,11,0,4,0,6
2017-05,43,6,2,9,6,19,8,0,1,0,5
2017-06,21,0,3,6,4,9,6,56,1,0,3
2017-07,15,7,3,4,3,5,6,0,2,0,3
2017-08,21,10,10,15,6,11,9,0,1,0,4
2017-09,50,22,37,36,12,15,11,53,1,0,5
2017-10,53,64,98,63,22,23,14,51,2,0,10
2017-11,100,30,51,32,16,17,5,0,4,0,13
2017-12,89,15,37,31,21,23,8,0,8,0,20
2018-01,98,84,100,84,90,81,45,0,69,0,91
2018-02,99,96,71,68,100,100,100,0,100,50,100
2018-03,56,17,8,7,22,29,25,47,21,0,22
2018-04,62,12,5,13,15,21,29,0,12,0,12
2018-05,36,6,4,7,7,13,13,0,2,0,7
2018-06,45,9,3,4,5,9,8,0,0,0,4
2018-07,27,15,2,6,5,10,5,0,1,0,2
2018-08,42,24,7,15,7,11,14,0,1,0,4
2018-09,53,48,49,37,16,18,5,0,1,0,6
