Category: All categories

Week,influenza: (Connecticut)
2010-10-03,35
2010-10-10,29
2010-10-17,14
2010-10-24,14
2010-10-31,28
2010-11-07,14
2010-11-14,14
2010-11-21,15
2010-11-28,20
2010-12-05,13
2010-12-12,34
2010-12-19,16
2010-12-26,0
2011-01-02,22
2011-01-09,27
2011-01-16,40
2011-01-23,26
2011-01-30,8
2011-02-06,18
2011-02-13,13
2011-02-20,27
2011-02-27,34
2011-03-06,57
2011-03-13,33
2011-03-20,17
2011-03-27,26
2011-04-03,9
2011-04-10,22
2011-04-17,0
2011-04-24,13
2011-05-01,13
2011-05-08,14
2011-05-15,9
2011-05-22,9
2011-05-29,19
2011-06-05,9
2011-06-12,9
2011-06-19,27
2011-06-26,15
2011-07-03,10
2011-07-10,0
2011-07-17,19
2011-07-24,23
2011-07-31,27
2011-08-07,14
2011-08-14,18
2011-08-21,13
2011-08-28,10
2011-09-04,26
2011-09-11,8
2011-09-18,25
2011-09-25,16
2011-10-02,12
2011-10-09,0
2011-10-16,32
2011-10-23,17
2011-10-30,31
2011-11-06,24
2011-11-13,16
2011-11-20,18
2011-11-27,27
2011-12-04,34
2011-12-11,30
2011-12-18,16
2011-12-25,0
2012-01-01,8
2012-01-08,26
2012-01-15,29
2012-01-22,29
2012-01-29,33
2012-02-05,36
2012-02-12,28
2012-02-19,15
2012-02-26,22
2012-03-04,15
2012-03-11,19
2012-03-18,27
2012-03-25,26
2012-04-01,15
2012-04-08,12
2012-04-15,16
2012-04-22,15
2012-04-29,33
2012-05-06,22
2012-05-13,11
2012-05-20,11
2012-05-27,16
2012-06-03,19
2012-06-10,23
2012-06-17,15
2012-06-24,8
2012-07-01,16
2012-07-08,8
2012-07-15,0
2012-07-22,7
2012-07-29,8
2012-08-05,12
2012-08-12,8
2012-08-19,16
2012-08-26,0
2012-09-02,14
2012-09-09,7
2012-09-16,46
2012-09-23,25
2012-09-30,14
2012-10-07,17
2012-10-14,14
2012-10-21,28
2012-10-28,19
2012-11-04,17
2012-11-11,17
2012-11-18,7
2012-11-25,34
2012-12-02,55
2012-12-09,28
2012-12-16,17
2012-12-23,39
2012-12-30,26
2013-01-06,79
2013-01-13,100
2013-01-20,58
2013-01-27,47
2013-02-03,34
2013-02-10,16
2013-02-17,6
2013-02-24,34
2013-03-03,18
2013-03-10,25
2013-03-17,28
2013-03-24,9
2013-03-31,22
2013-04-07,24
2013-04-14,38
2013-04-21,25
2013-04-28,13
2013-05-05,13
2013-05-12,10
2013-05-19,6
2013-05-26,7
2013-06-02,13
2013-06-09,22
2013-06-16,20
2013-06-23,7
2013-06-30,11
2013-07-07,13
2013-07-14,13
2013-07-21,13
2013-07-28,20
2013-08-04,7
2013-08-11,7
2013-08-18,19
2013-08-25,12
2013-09-01,13
2013-09-08,21
2013-09-15,21
2013-09-22,25
2013-09-29,18
2013-10-06,18
2013-10-13,15
2013-10-20,24
2013-10-27,24
2013-11-03,24
2013-11-10,21
2013-11-17,6
2013-11-24,19
2013-12-01,22
2013-12-08,14
2013-12-15,30
2013-12-22,21
2013-12-29,31
2014-01-05,31
2014-01-12,31
2014-01-19,20
2014-01-26,44
2014-02-02,23
2014-02-09,52
2014-02-16,29
2014-02-23,19
2014-03-02,45
2014-03-09,14
2014-03-16,24
2014-03-23,34
2014-03-30,14
2014-04-06,42
2014-04-13,29
2014-04-20,49
2014-04-27,12
2014-05-04,37
2014-05-11,13
2014-05-18,7
2014-05-25,7
2014-06-01,15
2014-06-08,18
2014-06-15,11
2014-06-22,15
2014-06-29,8
2014-07-06,8
2014-07-13,7
2014-07-20,11
2014-07-27,15
2014-08-03,17
2014-08-10,17
2014-08-17,18
2014-08-24,21
2014-08-31,16
2014-09-07,24
2014-09-14,32
2014-09-21,48
2014-09-28,16
2014-10-05,48
2014-10-12,40
2014-10-19,48
2014-10-26,20
2014-11-02,35
2014-11-09,23
2014-11-16,20
2014-11-23,26
2014-11-30,38
2014-12-07,35
2014-12-14,42
2014-12-21,41
2014-12-28,20
2015-01-04,60
2015-01-11,40
2015-01-18,20
2015-01-25,35
2015-02-01,39
2015-02-08,15
2015-02-15,27
2015-02-22,19
2015-03-01,30
2015-03-08,27
2015-03-15,24
2015-03-22,46
2015-03-29,24
2015-04-05,27
2015-04-12,34
2015-04-19,20
2015-04-26,19
2015-05-03,24
2015-05-10,21
2015-05-17,17
2015-05-24,9
2015-05-31,12
2015-06-07,16
2015-06-14,21
2015-06-21,12
2015-06-28,23
2015-07-05,23
2015-07-12,0
2015-07-19,12
2015-07-26,0
2015-08-02,15
2015-08-09,8
2015-08-16,15
2015-08-23,30
2015-08-30,11
2015-09-06,11
2015-09-13,23
2015-09-20,10
