CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2010-11,2010,40,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,41,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,42,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,43,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,44,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,45,50-64 yr,0,0
Connecticut,EIP,2010-11,2010,46,50-64 yr,0.8,0.8
Connecticut,EIP,2010-11,2010,47,50-64 yr,1.3,0.5
Connecticut,EIP,2010-11,2010,48,50-64 yr,1.3,0
Connecticut,EIP,2010-11,2010,49,50-64 yr,2,0.8
Connecticut,EIP,2010-11,2010,50,50-64 yr,2.6,0.5
Connecticut,EIP,2010-11,2010,51,50-64 yr,3.1,0.5
Connecticut,EIP,2010-11,2010,52,50-64 yr,3.6,0.5
Connecticut,EIP,2010-11,2011,1,50-64 yr,5.9,2.3
Connecticut,EIP,2010-11,2011,2,50-64 yr,6.6,0.8
Connecticut,EIP,2010-11,2011,3,50-64 yr,7.7,1
Connecticut,EIP,2010-11,2011,4,50-64 yr,8.4,0.8
Connecticut,EIP,2010-11,2011,5,50-64 yr,10.2,1.8
Connecticut,EIP,2010-11,2011,6,50-64 yr,11.5,1.3
Connecticut,EIP,2010-11,2011,7,50-64 yr,13.8,2.3
Connecticut,EIP,2010-11,2011,8,50-64 yr,16.6,2.8
Connecticut,EIP,2010-11,2011,9,50-64 yr,20.4,3.8
Connecticut,EIP,2010-11,2011,10,50-64 yr,22.2,1.8
Connecticut,EIP,2010-11,2011,11,50-64 yr,24.2,2
Connecticut,EIP,2010-11,2011,12,50-64 yr,25.2,1
Connecticut,EIP,2010-11,2011,13,50-64 yr,26.3,1
Connecticut,EIP,2010-11,2011,14,50-64 yr,27.3,1
Connecticut,EIP,2010-11,2011,15,50-64 yr,27.8,0.5
Connecticut,EIP,2010-11,2011,16,50-64 yr,27.8,0
Connecticut,EIP,2010-11,2011,17,50-64 yr,27.8,0
Connecticut,EIP,2011-12,2011,40,50-64 yr,0.5,0.5
