year,week,total.specimens,percent.positive,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir,flu_symptoms,median_tmax,median_tmin,median_t,total_prcp,humidity,vac_num,vac_effectiveness,all_rate,rate_0_4,rate_5_17,rate_18_49,rate_50_64,rate_65_plus,celcius_median_t,absolute_humidity
2010,40,54,0,55.125,120.7180851,85.20710059,44.61538462,17.79069767,35,18,0,3.333333333,0,4.615384615,63,50,56.5,0.61,80,130.9,60,0,0,0,0,0,0,13.61111111,9.417645827
2010,41,57,1.75,55.125,165.6914894,47.92899408,55.38461538,20.75581395,29,18,0,3.333333333,0,4.615384615,64,44,54,1.1,65,130.9,60,0,0,0,0,0,0,12.22222222,7.021040422
2010,42,71,1.41,81.15625,80.4787234,76.33136095,32.30769231,16.80232558,14,18,0,2,0,7.692307692,61,40,50.5,0.04,61,130.9,60,0,0,0,0,0,0,10.27777778,5.831757408
2010,43,77,2.6,53.59375,89,53.25443787,64.61538462,14.8255814,14,90,0,2,0,4.615384615,71,49,60,0.14,65,130.9,60,0.1,0,0,0,0,0.4,15.55555556,8.617508052
2010,44,68,0,49,78.11170213,37.27810651,63.07692308,14.8255814,28,18,0,3.333333333,0,8.461538462,52,36,44,1.3,69,130.9,60,0.1,0,0,0.1,0,0,6.666666667,5.231197912
2010,45,64,1.56,18,0,53.97590361,19,14.56,14.22222222,0,0,2,0,12.63157895,56,35,45.5,0.4,62,130.9,60,0,0,0,0,0,0,7.5,4.961938226
2010,46,84,3.57,17.48571429,0,42.1686747,19,15.6,14.22222222,0,0,2,0,10,55,43,49,1.32,64,130.9,60,0.2,0,0,0,0.8,0,9.444444444,5.803234359
2010,47,79,2.53,19.54285714,0,21.92771084,20.35714286,13.52,15.23809524,0,0,2,0,12.63157895,48,33,40.5,0.16,54,130.9,60,0.1,0,0,0,0.5,0,4.722222222,3.602983069
2010,48,97,3.09,16.97142857,0,21.92771084,17.64285714,8.32,20.31746032,0,0,2,0,14.73684211,46,29,37.5,0.9,60,130.9,60,0.1,0,0,0,0,0.7,3.055555556,3.582157699
2010,49,112,20.54,69.63562753,0,23.44186047,22,10.47619048,12.38095238,0,0,1.882352941,0,4.413793103,34,23,28.5,0,54,130.9,60,0.2,0,0,0,0.8,0.4,-1.944444444,2.287939291
2010,50,110,19.09,47.35222672,0,9.11627907,62.85714286,7.619047619,32.38095238,0,0,1,0,8.827586207,36,18,27,1.8,59,130.9,60,0.4,0,0,0.1,0.5,1.4,-2.777777778,2.357542771
2010,51,143,31.47,55.01214575,0,16.93023256,25.14285714,9.523809524,15.23809524,0,0,1,0,3.310344828,36,26,31,0,54,130.9,60,0.8,0.9,0,0.6,0.5,2.5,-0.555555556,2.52029059
2010,52,208,49.04,43,0,6.511627907,22,12.38095238,15,0,0,2.117647059,0,15.44827586,37,22,29.5,0.16,56.5,130.9,60,1.9,1.9,0.3,0.7,0.5,9.3,-1.388888889,2.488634745
2011,1,273,45.05,76.5,12,22.22222222,28.33333333,15.71428571,17.88617886,0,0,10,0,10.98039216,36,23,29.5,0.17,62,130.9,60,2,0,0.3,0.9,2.3,7.5,-1.388888889,2.730891225
2011,2,265,38.49,51,12,9.722222222,28.33333333,12.34693878,21.95121951,0,0,4,0,17.84313725,30,19,24.5,0.54,56,130.9,60,1.5,3.7,0.3,0.5,0.8,5.7,-4.166666667,2.027613057
2011,3,276,51.09,51,12,4.166666667,17,8.979591837,32.5203252,0,0,4,0,6.862745098,31,19,25,0.75,77,130.9,60,1.6,1.9,0.3,1.2,1,4.6,-3.888888889,2.843745562
2011,4,239,41.84,76.5,12,5.555555556,28.33333333,11.2244898,21.13821138,0,0,5,0,21.96078431,31,10,20.5,0.5,79,130.9,60,1.6,3.7,0,0.5,0.8,6.8,-6.388888889,2.43699012
2011,5,287,45.99,51,60,8.333333333,17,6.734693878,6.504065041,0,0,5,0,12.35294118,28,14,21,1.05,78,130.9,60,2.5,4.7,0.6,1.2,1.8,8.9,-6.111111111,2.455222519
2011,6,291,42.96,21.28104575,13,3.2,7,11.42857143,6.260869565,0,0,6.315789474,0,13.53846154,35,13,24,0.26,44,130.9,60,2.1,1.9,0.3,1.3,1.3,7.5,-4.444444444,1.561802804
2011,7,404,48.27,31.92156863,13,6.4,14,7.619047619,4.52173913,0,0,6.315789474,0,15.79487179,51,23,37,0,38,130.9,60,2.7,0,0,1.5,2.3,11,2.777777778,2.226720882
2011,8,363,49.59,32.88888889,13,3.2,14,9.523809524,9.391304348,0,0,5.052631579,0,7.897435897,38,15,26.5,1.53,69,130.9,60,2.9,2.8,0.3,1.7,2.8,9.6,-3.055555556,2.703555373
2011,9,326,42.02,61.90849673,13,3.2,7,11.42857143,11.82608696,0,0,6.315789474,0,6.769230769,42,25,33.5,0.79,45,130.9,60,2.5,0.9,1.5,0.9,3.8,7.1,0.833333333,2.310915085
2011,10,322,36.34,33.18857143,0,4,10,10.8,51.42857143,0,100,10.90909091,0,12.70588235,49,34,41.5,3.37,60,130.9,60,2.6,0.9,0.3,1.5,1.8,10.7,5.277777778,4.153013512
2011,11,316,31.65,11.56571429,0,4,10,8.4,29.77443609,0,100,5.818181818,0,9.529411765,47,30,38.5,0.39,33,130.9,60,2.4,0,0.3,1.5,2,8.9,3.611111111,2.044907104
2011,12,297,25.25,21.62285714,0,4,20,9.6,15.33834586,0,100,7.272727273,0,6.352941176,44,31,37.5,0.19,53,130.9,60,1,3.7,0.3,0.1,1,3.2,3.055555556,3.164239301
2011,13,250,21.6,21.62285714,0,4,20,7.2,23.45864662,0,100,6,0,7.411764706,47,32,39.5,0.4,41,130.9,60,1,0,0.6,0.4,1,3.9,4.166666667,2.63654387
2011,14,188,18.62,35,13,2.666666667,11,8.347826087,10.63636364,0,0,18.66666667,0,7,57,36,46.5,0.31,61,130.9,60,0.7,0.9,0.3,0.2,1,1.8,8.055555556,5.06025127
2011,15,162,14.81,33.40909091,13,2.666666667,44,8.347826087,26,0,0,9.333333333,0,9.8,61,42,51.5,2.22,72.5,130.9,60,0.6,0,0.3,0.1,0.5,2.5,10.83333333,7.178621354
2011,16,147,14.97,36.59090909,13,2,11,3.130434783,13,0,0,7,0,4.2,56,43,49.5,1.22,73,130.9,60,0.6,1.9,0.9,0.1,0,2.1,9.722222222,6.737366053
2011,17,146,6.16,35,52,2.666666667,11,4.173913043,15.36363636,0,0,7,0,7,72,55,63.5,0.22,74,130.9,60,0.2,0,0,0.1,0,1.1,17.5,11.02866462
2011,18,123,0.81,19.34065934,13,2,0,4.545454545,18.28125,0,0,1,100,1.666666667,70,43,56.5,0.43,65,130.9,60,0.2,0,0,0.1,0,1.1,13.61111111,7.651837235
2011,19,115,0,16,13,10,0,5.454545455,19.6875,0,0,1,100,5,72,52,62,0.11,62,130.9,60,0.2,0,0,0.1,0,1.1,16.66666667,8.790177266
2011,20,132,0,19.34065934,65,2,0,2.727272727,12.65625,0,0,5,100,2.5,68,53,60.5,2.73,81,130.9,60,0.2,0,0,0.1,0,1.1,15.83333333,10.92098743
2011,21,118,2.54,20.21978022,13,2,0,3.636363636,12.65625,0,0,1,100,2.5,81,57,69,0.29,77,130.9,60,0.2,0,0,0.1,0,1.1,20.55555556,13.74316014
2011,22,130,0,21.0989011,13,2,0,3.636363636,26.71875,0,0,1,100,3.333333333,84,66,75,0.74,51,130.9,60,0.2,0,0,0.1,0,1.1,23.88888889,11.02766224
2011,23,94,0,18.80291971,0,0,0,4.8,6,0,0,0,0,2.181818182,86,61,73.5,1.94,71,130.9,60,0.2,0,0,0.1,0,1.1,23.05555556,14.64009692
