Category: All categories

Week,cough medicine: (Connecticut)
2015-09-27,12
2015-10-04,36
2015-10-11,12
2015-10-18,24
2015-10-25,23
2015-11-01,46
2015-11-08,46
2015-11-15,17
2015-11-22,19
2015-11-29,11
2015-12-06,11
2015-12-13,34
2015-12-20,27
2015-12-27,63
2016-01-03,40
2016-01-10,56
2016-01-17,31
2016-01-24,35
2016-01-31,60
2016-02-07,30
2016-02-14,34
2016-02-21,21
2016-02-28,50
2016-03-06,21
2016-03-13,22
2016-03-20,22
2016-03-27,17
2016-04-03,29
2016-04-10,27
2016-04-17,36
2016-04-24,17
2016-05-01,8
2016-05-08,0
2016-05-15,14
2016-05-22,27
2016-05-29,23
2016-06-05,27
2016-06-12,9
2016-06-19,19
2016-06-26,19
2016-07-03,10
2016-07-10,28
2016-07-17,27
2016-07-24,0
2016-07-31,18
2016-08-07,14
2016-08-14,10
2016-08-21,10
2016-08-28,22
2016-09-04,13
2016-09-11,9
2016-09-18,21
2016-09-25,17
2016-10-02,21
2016-10-09,22
2016-10-16,9
2016-10-23,22
2016-10-30,17
2016-11-06,28
2016-11-13,33
2016-11-20,35
2016-11-27,24
2016-12-04,35
2016-12-11,39
2016-12-18,43
2016-12-25,36
2017-01-01,25
2017-01-08,45
2017-01-15,61
2017-01-22,40
2017-01-29,24
2017-02-05,44
2017-02-12,24
2017-02-19,24
2017-02-26,22
2017-03-05,23
2017-03-12,24
2017-03-19,31
2017-03-26,11
2017-04-02,42
2017-04-09,39
2017-04-16,23
2017-04-23,31
2017-04-30,31
2017-05-07,28
2017-05-14,17
2017-05-21,26
2017-05-28,9
2017-06-04,21
2017-06-11,9
2017-06-18,9
2017-06-25,14
2017-07-02,19
2017-07-09,9
2017-07-16,9
2017-07-23,13
2017-07-30,27
2017-08-06,9
2017-08-13,18
2017-08-20,13
2017-08-27,26
2017-09-03,17
2017-09-10,16
2017-09-17,20
2017-09-24,29
2017-10-01,25
2017-10-08,20
2017-10-15,28
2017-10-22,8
2017-10-29,32
2017-11-05,35
2017-11-12,42
2017-11-19,48
2017-11-26,62
2017-12-03,30
2017-12-10,52
2017-12-17,31
2017-12-24,100
2017-12-31,70
2018-01-07,37
2018-01-14,49
2018-01-21,45
2018-01-28,26
2018-02-04,55
2018-02-11,30
2018-02-18,45
2018-02-25,50
2018-03-04,11
2018-03-11,23
2018-03-18,22
2018-03-25,49
2018-04-01,29
2018-04-08,43
2018-04-15,34
2018-04-22,33
2018-04-29,19
2018-05-06,30
2018-05-13,15
2018-05-20,39
2018-05-27,31
2018-06-03,23
2018-06-10,15
2018-06-17,16
2018-06-24,28
2018-07-01,33
2018-07-08,24
2018-07-15,16
2018-07-22,24
2018-07-29,24
2018-08-05,8
2018-08-12,16
2018-08-19,34
2018-08-26,12
2018-09-02,8
2018-09-09,30
2018-09-16,27
2018-09-23,35
2018-09-30,46
