Category: All categories

Week,flu: (Connecticut)
2015-09-27,14
2015-10-04,15
2015-10-11,19
2015-10-18,15
2015-10-25,13
2015-11-01,13
2015-11-08,11
2015-11-15,8
2015-11-22,8
2015-11-29,8
2015-12-06,9
2015-12-13,8
2015-12-20,7
2015-12-27,10
2016-01-03,10
2016-01-10,7
2016-01-17,7
2016-01-24,7
2016-01-31,9
2016-02-07,9
2016-02-14,10
2016-02-21,12
2016-02-28,13
2016-03-06,17
2016-03-13,16
2016-03-20,15
2016-03-27,12
2016-04-03,9
2016-04-10,10
2016-04-17,9
2016-04-24,6
2016-05-01,5
2016-05-08,5
2016-05-15,4
2016-05-22,7
2016-05-29,5
2016-06-05,3
2016-06-12,3
2016-06-19,2
2016-06-26,3
2016-07-03,3
2016-07-10,3
2016-07-17,2
2016-07-24,2
2016-07-31,2
2016-08-07,2
2016-08-14,2
2016-08-21,3
2016-08-28,4
2016-09-04,6
2016-09-11,7
2016-09-18,7
2016-09-25,13
2016-10-02,12
2016-10-09,16
2016-10-16,14
2016-10-23,14
2016-10-30,12
2016-11-06,9
2016-11-13,12
2016-11-20,8
2016-11-27,8
2016-12-04,10
2016-12-11,10
2016-12-18,12
2016-12-25,15
2017-01-01,17
2017-01-08,15
2017-01-15,18
2017-01-22,15
2017-01-29,19
2017-02-05,20
2017-02-12,15
2017-02-19,15
2017-02-26,12
2017-03-05,10
2017-03-12,7
2017-03-19,7
2017-03-26,7
2017-04-02,10
2017-04-09,8
2017-04-16,5
2017-04-23,5
2017-04-30,5
2017-05-07,4
2017-05-14,3
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,4
2017-06-18,2
2017-06-25,2
2017-07-02,2
2017-07-09,3
2017-07-16,2
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,4
2017-08-20,4
2017-08-27,4
2017-09-03,6
2017-09-10,7
2017-09-17,9
2017-09-24,12
2017-10-01,14
2017-10-08,15
2017-10-15,17
2017-10-22,15
2017-10-29,12
2017-11-05,13
2017-11-12,12
2017-11-19,8
2017-11-26,12
2017-12-03,13
2017-12-10,14
2017-12-17,13
2017-12-24,20
2017-12-31,20
2018-01-07,37
2018-01-14,84
2018-01-21,92
2018-01-28,100
2018-02-04,85
2018-02-11,72
2018-02-18,50
2018-02-25,33
2018-03-04,19
2018-03-11,13
2018-03-18,13
2018-03-25,14
2018-04-01,12
2018-04-08,12
2018-04-15,9
2018-04-22,10
2018-04-29,7
2018-05-06,4
2018-05-13,4
2018-05-20,4
2018-05-27,4
2018-06-03,3
2018-06-10,5
2018-06-17,2
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,4
2018-07-29,3
2018-08-05,4
2018-08-12,4
2018-08-19,5
2018-08-26,5
2018-09-02,8
2018-09-09,9
2018-09-16,13
2018-09-23,19
2018-09-30,20
