Category: All categories

Week,flu shot: (Connecticut)
2010-10-03,48
2010-10-10,27
2010-10-17,43
2010-10-24,30
2010-10-31,21
2010-11-07,32
2010-11-14,25
2010-11-21,13
2010-11-28,13
2010-12-05,18
2010-12-12,7
2010-12-19,13
2010-12-26,5
2011-01-02,16
2011-01-09,7
2011-01-16,3
2011-01-23,4
2011-01-30,6
2011-02-06,3
2011-02-13,6
2011-02-20,3
2011-02-27,3
2011-03-06,3
2011-03-13,3
2011-03-20,3
2011-03-27,3
2011-04-03,3
2011-04-10,3
2011-04-17,0
2011-04-24,3
2011-05-01,0
2011-05-08,5
2011-05-15,0
2011-05-22,0
2011-05-29,0
2011-06-05,3
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,0
2011-07-10,3
2011-07-17,3
2011-07-24,3
2011-07-31,0
2011-08-07,3
2011-08-14,3
2011-08-21,4
2011-08-28,8
2011-09-04,4
2011-09-11,24
2011-09-18,26
2011-09-25,31
2011-10-02,48
2011-10-09,40
2011-10-16,36
2011-10-23,38
2011-10-30,23
2011-11-06,16
2011-11-13,13
2011-11-20,16
2011-11-27,14
2011-12-04,13
2011-12-11,11
2011-12-18,8
2011-12-25,3
2012-01-01,8
2012-01-08,5
2012-01-15,6
2012-01-22,4
2012-01-29,5
2012-02-05,2
2012-02-12,6
2012-02-19,5
2012-02-26,2
2012-03-04,4
2012-03-11,0
2012-03-18,3
2012-03-25,2
2012-04-01,3
2012-04-08,4
2012-04-15,3
2012-04-22,0
2012-04-29,0
2012-05-06,6
2012-05-13,0
2012-05-20,2
2012-05-27,3
2012-06-03,0
2012-06-10,3
2012-06-17,0
2012-06-24,0
2012-07-01,7
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,3
2012-08-05,3
2012-08-12,3
2012-08-19,5
2012-08-26,5
2012-09-02,6
2012-09-09,21
2012-09-16,18
2012-09-23,30
2012-09-30,33
2012-10-07,49
2012-10-14,34
2012-10-21,45
2012-10-28,25
2012-11-04,27
2012-11-11,18
2012-11-18,13
2012-11-25,26
2012-12-02,27
2012-12-09,22
2012-12-16,14
2012-12-23,8
2012-12-30,14
2013-01-06,91
2013-01-13,100
2013-01-20,27
2013-01-27,18
2013-02-03,6
2013-02-10,6
2013-02-17,9
2013-02-24,6
2013-03-03,5
2013-03-10,2
2013-03-17,3
2013-03-24,5
2013-03-31,4
2013-04-07,2
2013-04-14,5
2013-04-21,0
2013-04-28,4
2013-05-05,0
2013-05-12,4
2013-05-19,2
2013-05-26,0
2013-06-02,0
2013-06-09,2
2013-06-16,3
2013-06-23,0
2013-06-30,0
2013-07-07,2
2013-07-14,4
2013-07-21,3
2013-07-28,2
2013-08-04,2
2013-08-11,2
2013-08-18,2
2013-08-25,4
2013-09-01,20
2013-09-08,19
2013-09-15,28
2013-09-22,43
2013-09-29,49
2013-10-06,62
2013-10-13,53
2013-10-20,55
2013-10-27,50
2013-11-03,39
2013-11-10,27
2013-11-17,18
2013-11-24,19
2013-12-01,17
2013-12-08,16
2013-12-15,21
2013-12-22,5
2013-12-29,21
2014-01-05,26
2014-01-12,43
2014-01-19,26
2014-01-26,13
2014-02-02,9
2014-02-09,11
2014-02-16,4
2014-02-23,7
2014-03-02,4
2014-03-09,4
2014-03-16,5
2014-03-23,5
2014-03-30,2
2014-04-06,4
2014-04-13,2
2014-04-20,3
2014-04-27,4
2014-05-04,0
2014-05-11,2
2014-05-18,0
2014-05-25,1
2014-06-01,1
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,3
2014-07-06,4
2014-07-13,2
2014-07-20,3
2014-07-27,4
2014-08-03,3
2014-08-10,0
2014-08-17,7
2014-08-24,11
2014-08-31,7
2014-09-07,8
2014-09-14,28
2014-09-21,40
2014-09-28,64
2014-10-05,77
2014-10-12,71
2014-10-19,46
2014-10-26,63
2014-11-02,42
2014-11-09,38
2014-11-16,16
2014-11-23,13
2014-11-30,20
2014-12-07,22
2014-12-14,11
2014-12-21,10
2014-12-28,20
2015-01-04,20
2015-01-11,12
2015-01-18,11
2015-01-25,7
2015-02-01,6
2015-02-08,6
2015-02-15,9
2015-02-22,7
2015-03-01,5
2015-03-08,3
2015-03-15,0
2015-03-22,4
2015-03-29,0
2015-04-05,3
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,3
2015-05-10,0
2015-05-17,3
2015-05-24,3
2015-05-31,3
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,3
2015-07-19,8
2015-07-26,5
2015-08-02,0
2015-08-09,3
2015-08-16,9
2015-08-23,2
2015-08-30,9
2015-09-06,5
2015-09-13,8
2015-09-20,29
