Category: All categories

Week,flu shot: (Connecticut)
2015-09-27,35
2015-10-04,75
2015-10-11,54
2015-10-18,62
2015-10-25,64
2015-11-01,38
2015-11-08,26
2015-11-15,23
2015-11-22,13
2015-11-29,16
2015-12-06,10
2015-12-13,15
2015-12-20,3
2015-12-27,12
2016-01-03,10
2016-01-10,8
2016-01-17,10
2016-01-24,7
2016-01-31,5
2016-02-07,5
2016-02-14,6
2016-02-21,6
2016-02-28,5
2016-03-06,2
2016-03-13,3
2016-03-20,3
2016-03-27,2
2016-04-03,5
2016-04-10,6
2016-04-17,4
2016-04-24,0
2016-05-01,2
2016-05-08,3
2016-05-15,3
2016-05-22,3
2016-05-29,2
2016-06-05,2
2016-06-12,0
2016-06-19,0
2016-06-26,3
2016-07-03,4
2016-07-10,0
2016-07-17,3
2016-07-24,3
2016-07-31,3
2016-08-07,2
2016-08-14,5
2016-08-21,6
2016-08-28,7
2016-09-04,13
2016-09-11,21
2016-09-18,33
2016-09-25,39
2016-10-02,46
2016-10-09,49
2016-10-16,53
2016-10-23,58
2016-10-30,38
2016-11-06,33
2016-11-13,34
2016-11-20,11
2016-11-27,29
2016-12-04,25
2016-12-11,17
2016-12-18,18
2016-12-25,20
2017-01-01,16
2017-01-08,15
2017-01-15,15
2017-01-22,8
2017-01-29,13
2017-02-05,13
2017-02-12,7
2017-02-19,4
2017-02-26,4
2017-03-05,6
2017-03-12,4
2017-03-19,3
2017-03-26,2
2017-04-02,4
2017-04-09,2
2017-04-16,0
2017-04-23,4
2017-04-30,1
2017-05-07,2
2017-05-14,2
2017-05-21,0
2017-05-28,2
2017-06-04,2
2017-06-11,5
2017-06-18,0
2017-06-25,2
2017-07-02,0
2017-07-09,3
2017-07-16,7
2017-07-23,3
2017-07-30,7
2017-08-06,4
2017-08-13,5
2017-08-20,7
2017-08-27,8
2017-09-03,16
2017-09-10,21
2017-09-17,28
2017-09-24,32
2017-10-01,62
2017-10-08,55
2017-10-15,66
2017-10-22,73
2017-10-29,47
2017-11-05,52
2017-11-12,35
2017-11-19,20
2017-11-26,34
2017-12-03,27
2017-12-10,24
2017-12-17,21
2017-12-24,20
2017-12-31,18
2018-01-07,26
2018-01-14,87
2018-01-21,100
2018-01-28,96
2018-02-04,62
2018-02-11,48
2018-02-18,22
2018-02-25,9
2018-03-04,8
2018-03-11,4
2018-03-18,5
2018-03-25,5
2018-04-01,3
2018-04-08,3
2018-04-15,7
2018-04-22,1
2018-04-29,3
2018-05-06,3
2018-05-13,2
2018-05-20,3
2018-05-27,3
2018-06-03,0
2018-06-10,2
2018-06-17,0
2018-06-24,2
2018-07-01,3
2018-07-08,0
2018-07-15,2
2018-07-22,6
2018-07-29,2
2018-08-05,3
2018-08-12,5
2018-08-19,6
2018-08-26,8
2018-09-02,24
2018-09-09,25
2018-09-16,41
2018-09-23,54
2018-09-30,83
