Category: All categories

Week,flu vaccine: (Connecticut)
2010-10-03,29
2010-10-10,36
2010-10-17,21
2010-10-24,42
2010-10-31,41
2010-11-07,14
2010-11-14,14
2010-11-21,15
2010-11-28,13
2010-12-05,0
2010-12-12,40
2010-12-19,16
2010-12-26,0
2011-01-02,18
2011-01-09,18
2011-01-16,0
2011-01-23,18
2011-01-30,0
2011-02-06,0
2011-02-13,9
2011-02-20,9
2011-02-27,0
2011-03-06,0
2011-03-13,0
2011-03-20,17
2011-03-27,17
2011-04-03,0
2011-04-10,9
2011-04-17,0
2011-04-24,0
2011-05-01,0
2011-05-08,0
2011-05-15,0
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,10
2011-07-10,10
2011-07-17,0
2011-07-24,9
2011-07-31,0
2011-08-07,0
2011-08-14,9
2011-08-21,26
2011-08-28,0
2011-09-04,26
2011-09-11,12
2011-09-18,16
2011-09-25,28
2011-10-02,45
2011-10-09,20
2011-10-16,24
2011-10-23,25
2011-10-30,31
2011-11-06,24
2011-11-13,24
2011-11-20,9
2011-11-27,23
2011-12-04,19
2011-12-11,7
2011-12-18,8
2011-12-25,13
2012-01-01,19
2012-01-08,7
2012-01-15,7
2012-01-22,7
2012-01-29,7
2012-02-05,0
2012-02-12,7
2012-02-19,7
2012-02-26,11
2012-03-04,0
2012-03-11,8
2012-03-18,8
2012-03-25,7
2012-04-01,0
2012-04-08,8
2012-04-15,8
2012-04-22,0
2012-04-29,14
2012-05-06,7
2012-05-13,15
2012-05-20,0
2012-05-27,8
2012-06-03,0
2012-06-10,8
2012-06-17,0
2012-06-24,0
2012-07-01,16
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,8
2012-08-05,8
2012-08-12,15
2012-08-19,0
2012-08-26,23
2012-09-02,18
2012-09-09,27
2012-09-16,25
2012-09-23,49
2012-09-30,32
2012-10-07,59
2012-10-14,31
2012-10-21,35
2012-10-28,15
2012-11-04,13
2012-11-11,27
2012-11-18,14
2012-11-25,15
2012-12-02,29
2012-12-09,24
2012-12-16,10
2012-12-23,8
2012-12-30,16
2013-01-06,91
2013-01-13,71
2013-01-20,61
2013-01-27,28
2013-02-03,12
2013-02-10,6
2013-02-17,13
2013-02-24,37
2013-03-03,9
2013-03-10,12
2013-03-17,12
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,19
2013-04-21,9
2013-04-28,19
2013-05-05,0
2013-05-12,0
2013-05-19,6
2013-05-26,14
2013-06-02,6
2013-06-09,9
2013-06-16,7
2013-06-23,10
2013-06-30,0
2013-07-07,6
2013-07-14,0
2013-07-21,6
2013-07-28,0
2013-08-04,13
2013-08-11,10
2013-08-18,6
2013-08-25,12
2013-09-01,19
2013-09-08,36
2013-09-15,21
2013-09-22,49
2013-09-29,49
2013-10-06,45
2013-10-13,40
2013-10-20,24
2013-10-27,42
2013-11-03,39
2013-11-10,29
2013-11-17,12
2013-11-24,12
2013-12-01,6
2013-12-08,11
2013-12-15,18
2013-12-22,10
2013-12-29,27
2014-01-05,17
2014-01-12,26
2014-01-19,25
2014-01-26,17
2014-02-02,17
2014-02-09,0
2014-02-16,23
2014-02-23,5
2014-03-02,0
2014-03-09,14
2014-03-16,6
2014-03-23,11
2014-03-30,9
2014-04-06,6
2014-04-13,6
2014-04-20,6
2014-04-27,12
2014-05-04,6
2014-05-11,6
2014-05-18,4
2014-05-25,4
2014-06-01,4
2014-06-08,0
2014-06-15,0
2014-06-22,8
2014-06-29,0
2014-07-06,0
2014-07-13,7
2014-07-20,8
2014-07-27,7
2014-08-03,0
2014-08-10,13
2014-08-17,18
2014-08-24,17
2014-08-31,16
2014-09-07,47
2014-09-14,36
2014-09-21,48
2014-09-28,47
2014-10-05,100
2014-10-12,56
2014-10-19,39
2014-10-26,28
2014-11-02,35
2014-11-09,27
2014-11-16,16
2014-11-23,18
2014-11-30,38
2014-12-07,31
2014-12-14,29
2014-12-21,0
2014-12-28,40
2015-01-04,28
2015-01-11,23
2015-01-18,20
2015-01-25,31
2015-02-01,16
2015-02-08,11
2015-02-15,23
2015-02-22,15
2015-03-01,11
2015-03-08,8
2015-03-15,8
2015-03-22,8
2015-03-29,8
2015-04-05,12
2015-04-12,13
2015-04-19,8
2015-04-26,0
2015-05-03,8
2015-05-10,16
2015-05-17,8
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,8
2015-06-21,8
2015-06-28,12
2015-07-05,8
2015-07-12,0
2015-07-19,8
2015-07-26,15
2015-08-02,8
2015-08-09,8
2015-08-16,11
2015-08-23,7
2015-08-30,14
2015-09-06,28
2015-09-13,20
2015-09-20,34
