week,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir,flu_symptoms
10/3/10,36,51,48,29,18,35,0,0,8,0,6
10/10/10,36,70,27,36,21,29,0,0,8,0,6
10/17/10,53,34,43,21,17,14,0,0,0,0,10
10/24/10,35,0,30,42,15,14,88,0,0,0,6
10/31/10,0,33,21,41,15,28,0,0,8,0,11
11/7/10,35,67,32,14,14,14,0,0,0,0,6
11/14/10,34,0,25,14,15,14,0,0,0,0,0
11/21/10,38,0,13,15,13,15,0,0,0,0,6
11/28/10,33,32,13,13,8,20,0,0,0,0,7
12/5/10,100,0,18,0,11,13,0,0,8,0,4
12/12/10,68,0,7,40,8,34,0,0,0,0,8
12/19/10,79,0,13,16,10,16,0,0,0,0,3
12/26/10,0,0,5,0,13,0,0,0,9,0,14
1/2/11,33,0,16,18,14,22,0,98,10,0,8
1/9/11,22,0,7,18,11,27,0,0,0,0,13
1/16/11,22,0,3,0,8,40,0,0,0,0,5
1/23/11,33,0,4,18,10,26,0,0,5,0,16
1/30/11,0,20,6,0,6,8,0,0,5,0,9
2/6/11,22,0,3,0,12,18,55,0,10,100,12
2/13/11,33,0,6,9,8,13,0,0,10,0,14
2/20/11,34,0,3,9,10,27,0,0,8,0,7
2/27/11,64,0,3,0,12,34,0,92,10,0,6
3/6/11,66,0,3,0,9,57,55,0,15,0,12
3/13/11,23,0,3,0,7,33,59,0,8,0,9
3/20/11,43,0,3,17,8,17,0,0,10,0,6
3/27/11,43,0,3,17,6,26,0,0,0,0,7
4/3/11,22,0,3,0,8,9,0,0,10,0,5
4/10/11,21,0,3,9,8,22,0,0,5,0,7
4/17/11,23,0,0,0,3,0,0,0,0,0,3
4/24/11,22,21,3,0,4,13,0,0,0,0,5
5/1/11,22,0,0,0,5,13,0,0,0,0,2
5/8/11,0,0,5,0,6,14,0,0,0,0,6
5/15/11,22,21,0,0,3,9,0,0,5,0,3
5/22/11,23,0,0,0,4,9,0,0,0,0,3
5/29/11,24,0,0,0,4,19,0,0,0,0,4
6/5/11,23,0,3,0,4,9,0,0,0,0,3
6/12/11,67,0,0,0,2,9,0,0,0,0,2
6/19/11,22,0,0,0,2,27,0,0,0,0,2
6/26/11,25,0,0,0,2,15,0,0,0,0,4
7/3/11,0,0,0,10,1,10,0,0,0,0,4
7/10/11,0,0,3,10,3,0,0,0,0,0,2
7/17/11,23,0,3,0,3,19,0,0,0,0,3
7/24/11,23,0,3,9,1,23,0,100,0,0,0
7/31/11,0,0,0,0,2,27,0,0,0,0,3
8/7/11,23,0,3,0,2,14,0,0,0,0,2
8/14/11,0,0,3,9,4,18,0,0,0,0,2
8/21/11,22,0,4,26,6,13,0,95,5,0,3
8/28/11,0,0,8,0,3,10,0,0,0,0,0
9/4/11,0,0,4,26,5,26,0,0,0,0,3
9/11/11,31,20,24,12,9,8,0,0,0,0,3
9/18/11,41,39,26,16,12,25,0,0,0,0,4
9/25/11,20,19,31,28,14,16,0,0,0,0,6
10/2/11,62,20,48,45,18,12,0,0,0,0,5
10/9/11,20,28,40,20,14,0,0,0,0,0,5
10/16/11,40,39,36,24,18,32,51,0,0,0,6
10/23/11,31,100,38,25,17,17,0,0,0,0,5
10/30/11,26,25,23,31,13,31,0,0,12,0,10
11/6/11,30,19,16,24,11,24,0,0,0,0,4
11/13/11,29,19,13,24,11,16,0,0,4,0,3
11/20/11,0,42,16,9,10,18,0,0,5,0,4
11/27/11,19,0,14,23,11,27,0,0,9,0,7
12/4/11,19,18,13,19,9,34,0,0,0,0,4
12/11/11,19,18,11,7,8,30,0,0,0,0,8
12/18/11,20,0,8,8,7,16,0,0,5,0,6
12/25/11,32,0,3,13,10,0,0,0,0,0,8
1/1/12,29,0,8,19,8,8,0,0,4,0,11
1/8/12,36,0,5,7,8,26,0,0,0,0,10
1/15/12,0,0,6,7,8,29,0,0,4,0,2
1/22/12,27,0,4,7,9,29,0,0,4,0,9
1/29/12,36,0,5,7,7,33,0,0,0,0,5
2/5/12,18,0,2,0,7,36,0,0,4,0,5
2/12/12,35,0,6,7,12,28,0,77,0,0,4
2/19/12,55,0,5,7,13,15,0,0,0,0,6
2/26/12,45,17,2,11,7,22,0,0,0,0,10
3/4/12,28,0,4,0,5,15,0,0,4,0,7
3/11/12,19,0,0,8,7,19,0,0,4,0,4
3/18/12,19,0,3,8,4,27,49,0,4,0,2
3/25/12,19,0,2,7,4,26,0,81,4,0,4
4/1/12,19,0,3,0,6,15,0,0,4,0,7
4/8/12,59,0,4,8,7,12,0,0,0,0,5
4/15/12,0,0,3,8,5,16,0,0,9,0,2
4/22/12,18,0,0,0,4,15,0,0,4,0,3
4/29/12,0,0,0,14,4,33,0,0,4,0,1
5/6/12,18,0,6,7,4,22,0,0,4,0,6
5/13/12,0,0,0,15,4,11,0,0,4,0,2
5/20/12,37,0,2,0,3,11,0,0,0,0,3
5/27/12,19,0,3,8,4,16,0,0,0,0,2
6/3/12,28,0,0,0,4,19,0,0,0,0,4
6/10/12,0,0,3,8,4,23,0,83,6,0,3
6/17/12,19,0,0,0,3,15,0,0,0,0,2
6/24/12,19,0,0,0,2,8,0,0,0,0,3
7/1/12,0,0,7,16,4,16,0,0,0,0,2
7/8/12,0,0,0,0,3,8,0,0,0,0,2
7/15/12,38,0,0,0,1,0,0,0,0,0,2
7/22/12,19,0,0,0,3,7,0,0,0,0,0
7/29/12,57,0,3,8,4,8,0,0,0,0,2
8/5/12,19,0,3,8,5,12,0,0,0,0,2
8/12/12,0,0,3,15,3,8,0,0,0,0,3
8/19/12,0,0,5,0,4,16,0,0,0,0,2
8/26/12,19,18,5,23,6,0,0,0,0,0,3
9/2/12,27,17,6,18,6,14,0,0,0,0,3
9/9/12,51,0,21,27,8,7,0,75,4,0,4
9/16/12,0,51,18,25,10,46,0,0,4,0,4
9/23/12,18,33,30,49,15,25,0,0,0,0,6
9/30/12,87,17,33,32,15,14,0,76,4,0,8
10/7/12,35,25,49,59,19,17,0,0,8,0,9
10/14/12,17,57,34,31,19,14,0,0,8,0,7
10/21/12,34,25,45,35,18,28,0,75,6,0,8
10/28/12,0,18,25,15,11,19,0,0,0,0,2
11/4/12,58,16,27,13,11,17,0,0,0,0,3
11/11/12,17,33,18,27,12,17,0,0,4,0,3
11/18/12,27,0,13,14,10,7,0,0,8,0,6
11/25/12,77,0,26,15,13,34,0,0,5,0,13
12/2/12,24,31,27,29,20,55,0,0,0,0,9
12/9/12,17,17,22,24,19,28,0,0,8,0,15
12/16/12,31,7,14,10,15,17,18,0,13,0,10
12/23/12,43,6,8,8,17,39,0,0,15,0,20
12/30/12,43,13,14,16,22,26,14,24,21,0,19
1/6/13,39,52,91,91,84,79,0,0,54,0,61
1/13/13,36,43,100,71,100,100,0,0,100,0,100
1/20/13,17,32,27,61,47,58,86,0,47,0,58
1/27/13,31,0,18,28,29,47,40,0,32,0,27
2/3/13,78,0,6,12,20,34,0,0,16,0,16
2/10/13,16,0,6,6,14,16,0,0,12,0,18
2/17/13,40,15,9,13,13,6,0,0,13,0,12
2/24/13,46,15,6,37,11,34,39,0,10,0,16
3/3/13,31,0,5,9,9,18,0,0,7,0,7
3/10/13,31,0,2,12,8,25,0,0,7,0,7
3/17/13,23,0,3,12,10,28,39,0,9,0,6
3/24/13,39,0,5,0,9,9,0,0,11,0,9
3/31/13,15,0,4,0,10,22,39,0,11,0,7
4/7/13,46,0,2,0,11,24,39,0,10,0,8
4/14/13,16,0,5,19,9,38,0,0,5,0,6
4/21/13,31,0,0,9,10,25,0,0,7,0,7
4/28/13,24,0,4,19,8,13,40,0,0,0,5
5/5/13,15,0,0,0,4,13,0,0,4,0,3
5/12/13,16,0,4,0,4,10,0,0,0,73,5
5/19/13,31,0,2,6,4,6,0,0,7,0,1
5/26/13,34,0,0,14,3,7,0,0,4,0,3
6/2/13,31,15,0,6,3,13,0,0,4,0,1
6/9/13,31,15,2,9,3,22,0,0,0,0,3
6/16/13,0,16,3,7,4,20,0,0,0,0,1
6/23/13,33,0,0,10,3,7,0,0,0,0,2
6/30/13,0,0,0,0,3,11,0,0,0,0,2
7/7/13,0,0,2,6,1,13,0,0,0,0,3
7/14/13,0,16,4,0,3,13,0,0,0,0,1
7/21/13,16,16,3,6,3,13,0,0,4,0,3
7/28/13,16,0,2,0,4,20,0,0,0,0,3
8/4/13,16,0,2,13,4,7,0,0,0,0,3
8/11/13,0,32,2,10,3,7,0,0,0,0,0
8/18/13,32,0,2,6,2,19,0,0,0,0,1
8/25/13,15,0,4,12,4,12,39,0,4,0,3
9/1/13,16,30,20,19,7,13,0,0,4,0,4
9/8/13,22,29,19,36,10,21,0,0,3,0,6
9/15/13,30,14,28,21,14,21,0,0,10,0,6
9/22/13,31,44,43,49,18,25,39,0,0,0,8
9/29/13,30,29,49,49,21,18,0,67,0,0,7
10/6/13,0,29,62,45,18,18,0,0,7,0,4
10/13/13,38,22,53,40,18,15,0,0,4,0,6
10/20/13,23,43,55,24,20,24,0,0,3,0,7
10/27/13,30,22,50,42,20,24,0,0,3,0,6
11/3/13,15,21,39,39,14,24,0,0,7,0,2
11/10/13,15,21,27,29,12,21,0,0,3,0,4
11/17/13,36,21,18,12,14,6,37,0,5,0,6
11/24/13,15,15,19,12,10,19,0,0,4,0,6
12/1/13,14,13,17,6,11,22,0,61,0,0,6
12/8/13,21,0,16,11,13,14,0,62,3,0,6
12/15/13,22,14,21,18,12,30,0,0,7,0,5
12/22/13,51,16,5,10,14,21,0,0,14,0,12
12/29/13,53,0,21,27,25,31,0,0,16,0,15
1/5/14,63,13,26,17,31,31,35,0,18,0,27
1/12/14,21,21,43,26,31,31,0,0,16,0,30
1/19/14,21,13,26,25,26,20,0,0,25,0,22
1/26/14,28,13,13,17,24,44,0,0,35,0,14
2/2/14,28,0,9,17,18,23,0,0,29,0,13
2/9/14,34,13,11,0,12,52,34,0,8,0,10
2/16/14,35,0,4,23,12,29,0,0,8,0,10
2/23/14,48,0,7,5,8,19,0,0,3,0,10
3/2/14,14,0,4,0,13,45,0,0,14,0,10
3/9/14,21,14,4,14,13,14,36,0,15,0,14
3/16/14,44,0,5,6,12,24,0,0,10,0,14
3/23/14,71,0,5,11,14,34,35,0,18,0,8
3/30/14,36,0,2,9,16,14,0,0,15,0,11
4/6/14,38,14,4,6,14,42,0,0,24,0,10
4/13/14,24,15,2,6,9,29,0,0,18,0,7
4/20/14,30,0,3,6,10,49,0,0,7,0,6
4/27/14,22,0,4,12,8,12,38,0,7,0,9
5/4/14,15,0,0,6,7,37,0,0,7,0,11
5/11/14,24,0,2,6,6,13,0,0,7,0,9
5/18/14,11,0,0,4,5,7,0,0,3,0,3
5/25/14,0,0,1,4,4,7,0,0,2,0,2
6/1/14,16,0,1,4,4,15,0,0,2,0,3
6/8/14,18,0,0,0,5,18,0,0,0,0,3
6/15/14,38,0,0,0,3,11,0,0,0,0,4
6/22/14,19,0,0,8,3,15,0,0,4,0,0
6/29/14,20,0,3,0,3,8,0,0,0,0,6
7/6/14,19,0,4,0,4,8,0,0,0,0,3
7/13/14,18,0,2,7,4,7,0,0,4,0,1
7/20/14,19,0,3,8,5,11,0,0,4,0,2
7/27/14,18,0,4,7,5,15,0,0,0,0,2
8/3/14,21,0,3,0,4,17,0,0,0,0,5
8/10/14,21,0,0,13,4,17,0,0,0,0,2
8/17/14,22,0,7,18,5,18,0,0,0,0,2
8/24/14,21,20,11,17,5,21,0,0,5,0,3
8/31/14,31,0,7,16,6,16,0,0,9,0,3
9/7/14,19,19,8,47,12,24,0,0,0,0,3
9/14/14,20,38,28,36,15,32,0,0,9,0,2
9/21/14,20,38,40,48,18,48,51,0,0,0,2
9/28/14,20,0,64,47,21,16,100,0,9,0,4
10/5/14,20,96,77,100,30,48,0,0,0,0,4
10/12/14,30,29,71,56,31,40,51,0,5,0,10
10/19/14,39,47,46,39,24,48,0,0,0,0,2
10/26/14,49,19,63,28,20,20,0,0,5,0,9
11/2/14,48,19,42,35,17,35,0,0,4,0,6
11/9/14,19,37,38,27,18,23,0,0,4,0,10
11/16/14,20,56,16,16,10,20,0,0,4,0,3
11/23/14,33,0,13,18,11,26,0,0,10,0,7
11/30/14,37,18,20,38,14,38,0,0,4,0,9
12/7/14,48,0,22,31,16,35,0,0,9,0,8
12/14/14,41,0,11,29,16,42,0,0,14,0,10
12/21/14,38,0,10,0,12,41,0,0,32,0,15
12/28/14,50,0,20,40,25,20,0,0,20,0,18
1/4/15,30,19,20,28,26,60,50,0,27,0,20
1/11/15,49,19,12,23,23,40,50,0,47,0,18
1/18/15,30,19,11,20,26,20,0,0,53,0,23
1/25/15,20,0,7,31,19,35,0,0,31,0,18
2/1/15,39,0,6,16,19,39,0,0,24,0,19
2/8/15,19,0,6,11,18,15,48,84,17,0,11
2/15/15,48,19,9,23,14,27,0,0,13,0,14
2/22/15,37,18,7,15,12,19,0,0,17,0,11
3/1/15,0,0,5,11,11,30,47,0,34,0,12
3/8/15,20,0,3,8,10,27,0,0,9,0,11
3/15/15,30,0,0,8,14,24,0,0,18,0,10
3/22/15,21,20,4,8,12,46,0,0,10,0,8
3/29/15,39,0,0,8,13,24,0,0,9,0,8
4/5/15,39,0,3,12,10,27,0,0,18,0,5
4/12/15,32,0,0,13,10,34,54,0,10,98,3
4/19/15,0,19,0,8,8,20,49,0,22,0,9
4/26/15,0,0,0,0,7,19,0,0,0,0,2
5/3/15,40,0,3,8,5,24,0,0,5,0,2
5/10/15,21,20,0,16,6,21,0,0,0,0,2
5/17/15,53,41,3,8,6,17,0,0,0,0,2
5/24/15,44,0,3,0,5,9,0,0,0,0,3
5/31/15,0,0,3,0,4,12,0,0,0,0,10
6/7/15,20,0,0,0,4,16,0,0,5,0,3
6/14/15,84,0,0,8,4,21,0,0,0,0,2
6/21/15,20,0,0,8,3,12,0,0,0,0,2
6/28/15,38,0,0,12,3,23,0,0,0,0,5
7/5/15,0,0,0,8,4,23,0,0,4,0,2
7/12/15,19,0,3,0,3,0,0,0,0,0,5
7/19/15,29,0,8,8,3,12,0,0,0,0,0
7/26/15,37,0,5,15,4,0,0,0,9,0,3
8/2/15,0,0,0,8,3,15,0,0,0,0,2
8/9/15,38,0,3,8,2,8,0,0,0,0,2
8/16/15,0,18,9,11,5,15,0,0,0,0,2
8/23/15,18,18,2,7,4,30,0,0,0,0,1
8/30/15,18,17,9,14,6,11,0,0,0,0,2
9/6/15,17,17,5,28,7,11,0,0,4,0,2
9/13/15,25,0,8,20,8,23,0,0,0,0,1
9/20/15,50,24,29,34,14,10,0,0,0,0,6
9/27/15,12,42,35,45,14,20,0,0,0,0,3
10/4/15,36,34,75,75,15,21,0,0,0,0,6
10/11/15,12,86,54,65,19,12,0,0,0,0,7
10/18/15,24,51,62,60,15,36,0,0,0,0,8
10/25/15,23,33,64,45,13,23,0,0,0,0,8
11/1/15,46,33,38,53,13,17,0,0,4,0,6
11/8/15,46,49,26,31,11,11,0,0,2,0,8
11/15/15,17,33,23,44,8,23,0,0,2,0,8
11/22/15,19,0,13,15,8,13,0,0,0,0,5
11/29/15,11,0,16,34,8,16,27,0,4,0,5
12/6/15,11,16,10,17,9,25,0,0,2,0,5
12/13/15,34,0,15,35,8,20,0,0,0,0,9
