Category: All categories

Week,influenza: (Connecticut)
2015-09-27,20
2015-10-04,21
2015-10-11,12
2015-10-18,36
2015-10-25,23
2015-11-01,17
2015-11-08,11
2015-11-15,23
2015-11-22,13
2015-11-29,16
2015-12-06,25
2015-12-13,20
2015-12-20,7
2015-12-27,19
2016-01-03,18
2016-01-10,13
2016-01-17,13
2016-01-24,7
2016-01-31,17
2016-02-07,15
2016-02-14,30
2016-02-21,27
2016-02-28,15
2016-03-06,47
2016-03-13,34
2016-03-20,35
2016-03-27,36
2016-04-03,17
2016-04-10,20
2016-04-17,27
2016-04-24,15
2016-05-01,15
2016-05-08,18
2016-05-15,18
2016-05-22,18
2016-05-29,14
2016-06-05,5
2016-06-12,7
2016-06-19,5
2016-06-26,7
2016-07-03,7
2016-07-10,9
2016-07-17,16
2016-07-24,15
2016-07-31,5
2016-08-07,19
2016-08-14,5
2016-08-21,7
2016-08-28,13
2016-09-04,13
2016-09-11,24
2016-09-18,21
2016-09-25,6
2016-10-02,21
2016-10-09,11
2016-10-16,13
2016-10-23,19
2016-10-30,21
2016-11-06,14
2016-11-13,8
2016-11-20,19
2016-11-27,33
2016-12-04,15
2016-12-11,23
2016-12-18,25
2016-12-25,23
2017-01-01,35
2017-01-08,33
2017-01-15,26
2017-01-22,34
2017-01-29,36
2017-02-05,45
2017-02-12,39
2017-02-19,34
2017-02-26,19
2017-03-05,19
2017-03-12,22
2017-03-19,27
2017-03-26,21
2017-04-02,17
2017-04-09,36
2017-04-16,25
2017-04-23,27
2017-04-30,20
2017-05-07,14
2017-05-14,11
2017-05-21,13
2017-05-28,22
2017-06-04,6
2017-06-11,4
2017-06-18,6
2017-06-25,11
2017-07-02,7
2017-07-09,7
2017-07-16,7
2017-07-23,13
2017-07-30,15
2017-08-06,4
2017-08-13,5
2017-08-20,4
2017-08-27,9
2017-09-03,14
2017-09-10,14
2017-09-17,18
2017-09-24,12
2017-10-01,31
2017-10-08,14
2017-10-15,18
2017-10-22,22
2017-10-29,8
2017-11-05,16
2017-11-12,23
2017-11-19,16
2017-11-26,18
2017-12-03,31
2017-12-10,15
2017-12-17,17
2017-12-24,24
2017-12-31,31
2018-01-07,52
2018-01-14,90
2018-01-21,100
2018-01-28,94
2018-02-04,97
2018-02-11,85
2018-02-18,79
2018-02-25,54
2018-03-04,37
2018-03-11,21
2018-03-18,26
2018-03-25,30
2018-04-01,29
2018-04-08,25
2018-04-15,30
2018-04-22,20
2018-04-29,11
2018-05-06,21
2018-05-13,34
2018-05-20,10
2018-05-27,21
2018-06-03,23
2018-06-10,13
2018-06-17,12
2018-06-24,10
2018-07-01,8
2018-07-08,4
2018-07-15,10
2018-07-22,20
2018-07-29,10
2018-08-05,10
2018-08-12,10
2018-08-19,19
2018-08-26,8
2018-09-02,12
2018-09-09,21
2018-09-16,19
2018-09-23,23
2018-09-30,23
