Category: All categories

Week,oseltamivir: (Connecticut)
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,27
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,31
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,22
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,22
2016-03-27,0
2016-04-03,0
2016-04-10,22
2016-04-17,0
2016-04-24,0
2016-05-01,20
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,25
2016-08-21,24
2016-08-28,0
2016-09-04,22
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,21
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,19
2016-12-11,0
2016-12-18,41
2016-12-25,0
2017-01-01,0
2017-01-08,20
2017-01-15,20
2017-01-22,19
2017-01-29,0
2017-02-05,20
2017-02-12,19
2017-02-19,39
2017-02-26,0
2017-03-05,28
2017-03-12,29
2017-03-19,29
2017-03-26,65
2017-04-02,19
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,19
2017-05-07,40
2017-05-14,0
2017-05-21,21
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,21
2017-09-03,41
2017-09-10,0
2017-09-17,20
2017-09-24,20
2017-10-01,20
2017-10-08,0
2017-10-15,20
2017-10-22,20
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,18
2017-12-10,0
2017-12-17,19
2017-12-24,32
2017-12-31,19
2018-01-07,28
2018-01-14,55
2018-01-21,36
2018-01-28,100
2018-02-04,90
2018-02-11,91
2018-02-18,28
2018-02-25,80
2018-03-04,36
2018-03-11,19
2018-03-18,36
2018-03-25,56
2018-04-01,45
2018-04-08,38
2018-04-15,19
2018-04-22,0
2018-04-29,18
2018-05-06,18
2018-05-13,0
2018-05-20,38
2018-05-27,0
2018-06-03,19
2018-06-10,0
2018-06-17,0
2018-06-24,40
2018-07-01,0
2018-07-08,20
2018-07-15,20
2018-07-22,19
2018-07-29,0
2018-08-05,41
2018-08-12,0
2018-08-19,0
2018-08-26,20
2018-09-02,0
2018-09-09,18
2018-09-16,19
2018-09-23,0
2018-09-30,0
