CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2010-11,2010,40,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,41,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,42,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,43,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,44,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,45,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,46,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,47,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,48,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,49,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,50,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,51,5-17 yr,0,0
Connecticut,EIP,2010-11,2010,52,5-17 yr,0.3,0.3
Connecticut,EIP,2010-11,2011,1,5-17 yr,0.6,0.3
Connecticut,EIP,2010-11,2011,2,5-17 yr,0.9,0.3
Connecticut,EIP,2010-11,2011,3,5-17 yr,1.2,0.3
Connecticut,EIP,2010-11,2011,4,5-17 yr,1.2,0
Connecticut,EIP,2010-11,2011,5,5-17 yr,1.9,0.6
Connecticut,EIP,2010-11,2011,6,5-17 yr,2.2,0.3
Connecticut,EIP,2010-11,2011,7,5-17 yr,2.2,0
Connecticut,EIP,2010-11,2011,8,5-17 yr,2.5,0.3
Connecticut,EIP,2010-11,2011,9,5-17 yr,4,1.5
Connecticut,EIP,2010-11,2011,10,5-17 yr,4.3,0.3
Connecticut,EIP,2010-11,2011,11,5-17 yr,4.6,0.3
Connecticut,EIP,2010-11,2011,12,5-17 yr,4.9,0.3
Connecticut,EIP,2010-11,2011,13,5-17 yr,5.6,0.6
Connecticut,EIP,2010-11,2011,14,5-17 yr,5.9,0.3
Connecticut,EIP,2010-11,2011,15,5-17 yr,6.2,0.3
Connecticut,EIP,2010-11,2011,16,5-17 yr,7.1,0.9
Connecticut,EIP,2010-11,2011,17,5-17 yr,7.1,0
Connecticut,EIP,2011-12,2011,40,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,41,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,42,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,43,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,44,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,45,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,46,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,47,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,48,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,49,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,50,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,51,5-17 yr,0,0
Connecticut,EIP,2011-12,2011,52,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,1,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,2,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,3,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,4,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,5,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,6,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,7,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,8,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,9,5-17 yr,0,0
Connecticut,EIP,2011-12,2012,10,5-17 yr,0.3,0.3
Connecticut,EIP,2011-12,2012,11,5-17 yr,0.6,0.3
Connecticut,EIP,2011-12,2012,12,5-17 yr,1.3,0.6
Connecticut,EIP,2011-12,2012,13,5-17 yr,1.6,0.3
Connecticut,EIP,2011-12,2012,14,5-17 yr,1.9,0.3
Connecticut,EIP,2011-12,2012,15,5-17 yr,1.9,0
Connecticut,EIP,2011-12,2012,16,5-17 yr,1.9,0
Connecticut,EIP,2011-12,2012,17,5-17 yr,1.9,0
Connecticut,EIP,2012-13,2012,40,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,41,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,42,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,43,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,44,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,45,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,46,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,47,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,48,5-17 yr,0,0
Connecticut,EIP,2012-13,2012,49,5-17 yr,1.2,1.2
Connecticut,EIP,2012-13,2012,50,5-17 yr,3,1.8
Connecticut,EIP,2012-13,2012,51,5-17 yr,3.6,0.6
Connecticut,EIP,2012-13,2012,52,5-17 yr,4.8,1.2
Connecticut,EIP,2012-13,2013,1,5-17 yr,5.4,0.6
Connecticut,EIP,2012-13,2013,2,5-17 yr,5.4,0
Connecticut,EIP,2012-13,2013,3,5-17 yr,8.5,3
Connecticut,EIP,2012-13,2013,4,5-17 yr,9.1,0.6
Connecticut,EIP,2012-13,2013,5,5-17 yr,9.7,0.6
Connecticut,EIP,2012-13,2013,6,5-17 yr,10.3,0.6
Connecticut,EIP,2012-13,2013,7,5-17 yr,10.3,0
Connecticut,EIP,2012-13,2013,8,5-17 yr,10.9,0.6
Connecticut,EIP,2012-13,2013,9,5-17 yr,12.1,1.2
Connecticut,EIP,2012-13,2013,10,5-17 yr,12.1,0
Connecticut,EIP,2012-13,2013,11,5-17 yr,13.3,1.2
Connecticut,EIP,2012-13,2013,12,5-17 yr,15.1,1.8
Connecticut,EIP,2012-13,2013,13,5-17 yr,15.1,0
Connecticut,EIP,2012-13,2013,14,5-17 yr,15.1,0
Connecticut,EIP,2012-13,2013,15,5-17 yr,15.1,0
Connecticut,EIP,2012-13,2013,16,5-17 yr,15.1,0
Connecticut,EIP,2012-13,2013,17,5-17 yr,16.3,1.2
Connecticut,EIP,2013-14,2013,40,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,41,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,42,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,43,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,44,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,45,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,46,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,47,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,48,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,49,5-17 yr,0,0
Connecticut,EIP,2013-14,2013,50,5-17 yr,0.6,0.6
Connecticut,EIP,2013-14,2013,51,5-17 yr,0.6,0
Connecticut,EIP,2013-14,2013,52,5-17 yr,1.2,0.6
Connecticut,EIP,2013-14,2014,1,5-17 yr,1.8,0.6
Connecticut,EIP,2013-14,2014,2,5-17 yr,3.1,1.2
Connecticut,EIP,2013-14,2014,3,5-17 yr,3.7,0.6
Connecticut,EIP,2013-14,2014,4,5-17 yr,4.3,0.6
Connecticut,EIP,2013-14,2014,5,5-17 yr,5.5,1.2
Connecticut,EIP,2013-14,2014,6,5-17 yr,7.4,1.8
Connecticut,EIP,2013-14,2014,7,5-17 yr,7.4,0
Connecticut,EIP,2013-14,2014,8,5-17 yr,8.6,1.2
Connecticut,EIP,2013-14,2014,9,5-17 yr,8.6,0
Connecticut,EIP,2013-14,2014,10,5-17 yr,9.2,0.6
Connecticut,EIP,2013-14,2014,11,5-17 yr,11,1.8
Connecticut,EIP,2013-14,2014,12,5-17 yr,13.5,2.5
Connecticut,EIP,2013-14,2014,13,5-17 yr,13.5,0
Connecticut,EIP,2013-14,2014,14,5-17 yr,15.3,1.8
