CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2010-11,2010,40,65+ yr,0,0
Connecticut,EIP,2010-11,2010,41,65+ yr,0,0
Connecticut,EIP,2010-11,2010,42,65+ yr,0,0
Connecticut,EIP,2010-11,2010,43,65+ yr,0.4,0.4
Connecticut,EIP,2010-11,2010,44,65+ yr,0.4,0
Connecticut,EIP,2010-11,2010,45,65+ yr,0.4,0
Connecticut,EIP,2010-11,2010,46,65+ yr,0.4,0
Connecticut,EIP,2010-11,2010,47,65+ yr,0.4,0
Connecticut,EIP,2010-11,2010,48,65+ yr,1.1,0.7
Connecticut,EIP,2010-11,2010,49,65+ yr,1.4,0.4
Connecticut,EIP,2010-11,2010,50,65+ yr,2.8,1.4
Connecticut,EIP,2010-11,2010,51,65+ yr,5.3,2.5
Connecticut,EIP,2010-11,2010,52,65+ yr,14.6,9.3
Connecticut,EIP,2010-11,2011,1,65+ yr,22.1,7.5
Connecticut,EIP,2010-11,2011,2,65+ yr,27.8,5.7
Connecticut,EIP,2010-11,2011,3,65+ yr,32.4,4.6
Connecticut,EIP,2010-11,2011,4,65+ yr,39.2,6.8
Connecticut,EIP,2010-11,2011,5,65+ yr,48.1,8.9
Connecticut,EIP,2010-11,2011,6,65+ yr,55.5,7.5
Connecticut,EIP,2010-11,2011,7,65+ yr,66.6,11
Connecticut,EIP,2010-11,2011,8,65+ yr,76.2,9.6
Connecticut,EIP,2010-11,2011,9,65+ yr,83.3,7.1
Connecticut,EIP,2010-11,2011,10,65+ yr,94,10.7
Connecticut,EIP,2010-11,2011,11,65+ yr,102.9,8.9
Connecticut,EIP,2010-11,2011,12,65+ yr,106.1,3.2
Connecticut,EIP,2010-11,2011,13,65+ yr,110,3.9
Connecticut,EIP,2010-11,2011,14,65+ yr,111.8,1.8
Connecticut,EIP,2010-11,2011,15,65+ yr,114.3,2.5
Connecticut,EIP,2010-11,2011,16,65+ yr,116.4,2.1
Connecticut,EIP,2010-11,2011,17,65+ yr,117.5,1.1
Connecticut,EIP,2011-12,2011,40,65+ yr,0,0
Connecticut,EIP,2011-12,2011,41,65+ yr,0,0
Connecticut,EIP,2011-12,2011,42,65+ yr,0,0
Connecticut,EIP,2011-12,2011,43,65+ yr,0,0
Connecticut,EIP,2011-12,2011,44,65+ yr,0.4,0.4
Connecticut,EIP,2011-12,2011,45,65+ yr,0.4,0
Connecticut,EIP,2011-12,2011,46,65+ yr,0.4,0
Connecticut,EIP,2011-12,2011,47,65+ yr,0.4,0
Connecticut,EIP,2011-12,2011,48,65+ yr,0.4,0
Connecticut,EIP,2011-12,2011,49,65+ yr,0.7,0.4
Connecticut,EIP,2011-12,2011,50,65+ yr,0.7,0
Connecticut,EIP,2011-12,2011,51,65+ yr,0.7,0
Connecticut,EIP,2011-12,2011,52,65+ yr,1.1,0.4
Connecticut,EIP,2011-12,2012,1,65+ yr,1.1,0
Connecticut,EIP,2011-12,2012,2,65+ yr,1.8,0.7
Connecticut,EIP,2011-12,2012,3,65+ yr,2.1,0.4
Connecticut,EIP,2011-12,2012,4,65+ yr,2.1,0
Connecticut,EIP,2011-12,2012,5,65+ yr,2.1,0
Connecticut,EIP,2011-12,2012,6,65+ yr,2.1,0
Connecticut,EIP,2011-12,2012,7,65+ yr,2.5,0.4
Connecticut,EIP,2011-12,2012,8,65+ yr,3.2,0.7
Connecticut,EIP,2011-12,2012,9,65+ yr,5.6,2.5
Connecticut,EIP,2011-12,2012,10,65+ yr,8.1,2.5
Connecticut,EIP,2011-12,2012,11,65+ yr,12.3,4.2
Connecticut,EIP,2011-12,2012,12,65+ yr,14.4,2.1
Connecticut,EIP,2011-12,2012,13,65+ yr,15.8,1.4
Connecticut,EIP,2011-12,2012,14,65+ yr,20.4,4.6
Connecticut,EIP,2011-12,2012,15,65+ yr,27.7,7.4
Connecticut,EIP,2011-12,2012,16,65+ yr,32.7,4.9
Connecticut,EIP,2011-12,2012,17,65+ yr,36.9,4.2
Connecticut,EIP,2012-13,2012,40,65+ yr,0,0
Connecticut,EIP,2012-13,2012,41,65+ yr,0,0
Connecticut,EIP,2012-13,2012,42,65+ yr,0.6,0.6
Connecticut,EIP,2012-13,2012,43,65+ yr,0.6,0
Connecticut,EIP,2012-13,2012,44,65+ yr,0.6,0
Connecticut,EIP,2012-13,2012,45,65+ yr,0.6,0
Connecticut,EIP,2012-13,2012,46,65+ yr,0.6,0
Connecticut,EIP,2012-13,2012,47,65+ yr,3.2,2.5
Connecticut,EIP,2012-13,2012,48,65+ yr,4.4,1.3
Connecticut,EIP,2012-13,2012,49,65+ yr,7,2.5
Connecticut,EIP,2012-13,2012,50,65+ yr,15.2,8.2
Connecticut,EIP,2012-13,2012,51,65+ yr,32.3,17.1
Connecticut,EIP,2012-13,2012,52,65+ yr,84.2,51.9
Connecticut,EIP,2012-13,2013,1,65+ yr,158.9,74.7
Connecticut,EIP,2012-13,2013,2,65+ yr,226,67.1
Connecticut,EIP,2012-13,2013,3,65+ yr,267.8,41.8
Connecticut,EIP,2012-13,2013,4,65+ yr,297.6,29.8
Connecticut,EIP,2012-13,2013,5,65+ yr,315.9,18.4
Connecticut,EIP,2012-13,2013,6,65+ yr,328,12
Connecticut,EIP,2012-13,2013,7,65+ yr,334.9,7
Connecticut,EIP,2012-13,2013,8,65+ yr,336.8,1.9
Connecticut,EIP,2012-13,2013,9,65+ yr,344.4,7.6
Connecticut,EIP,2012-13,2013,10,65+ yr,351.4,7
Connecticut,EIP,2012-13,2013,11,65+ yr,355.2,3.8
Connecticut,EIP,2012-13,2013,12,65+ yr,361.5,6.3
Connecticut,EIP,2012-13,2013,13,65+ yr,364.7,3.2
Connecticut,EIP,2012-13,2013,14,65+ yr,372.3,7.6
Connecticut,EIP,2012-13,2013,15,65+ yr,375.5,3.2
Connecticut,EIP,2012-13,2013,16,65+ yr,377.4,1.9
Connecticut,EIP,2012-13,2013,17,65+ yr,378,0.6
Connecticut,EIP,2013-14,2013,40,65+ yr,0,0
Connecticut,EIP,2013-14,2013,41,65+ yr,0.6,0.6
Connecticut,EIP,2013-14,2013,42,65+ yr,0.6,0
Connecticut,EIP,2013-14,2013,43,65+ yr,1.2,0.6
Connecticut,EIP,2013-14,2013,44,65+ yr,1.8,0.6
Connecticut,EIP,2013-14,2013,45,65+ yr,1.8,0
Connecticut,EIP,2013-14,2013,46,65+ yr,1.8,0
Connecticut,EIP,2013-14,2013,47,65+ yr,2.5,0.6
Connecticut,EIP,2013-14,2013,48,65+ yr,3.1,0.6
Connecticut,EIP,2013-14,2013,49,65+ yr,4.9,1.8
Connecticut,EIP,2013-14,2013,50,65+ yr,6.8,1.8
Connecticut,EIP,2013-14,2013,51,65+ yr,6.8,0
Connecticut,EIP,2013-14,2013,52,65+ yr,9.2,2.5
Connecticut,EIP,2013-14,2014,1,65+ yr,17.3,8
Connecticut,EIP,2013-14,2014,2,65+ yr,24.7,7.4
Connecticut,EIP,2013-14,2014,3,65+ yr,31.4,6.8
Connecticut,EIP,2013-14,2014,4,65+ yr,40.7,9.2
Connecticut,EIP,2013-14,2014,5,65+ yr,51.2,10.5
Connecticut,EIP,2013-14,2014,6,65+ yr,62.3,11.1
Connecticut,EIP,2013-14,2014,7,65+ yr,77.1,14.8
Connecticut,EIP,2013-14,2014,8,65+ yr,87.5,10.5
Connecticut,EIP,2013-14,2014,9,65+ yr,98,10.5
Connecticut,EIP,2013-14,2014,10,65+ yr,114.7,16.6
Connecticut,EIP,2013-14,2014,11,65+ yr,135.6,21
Connecticut,EIP,2013-14,2014,12,65+ yr,170.8,35.1
Connecticut,EIP,2013-14,2014,13,65+ yr,196.6,25.9
Connecticut,EIP,2013-14,2014,14,65+ yr,222.5,25.9
Connecticut,EIP,2013-14,2014,15,65+ yr,256.4,33.9
Connecticut,EIP,2013-14,2014,16,65+ yr,276.8,20.3
Connecticut,EIP,2013-14,2014,17,65+ yr,296.5,19.7
Connecticut,EIP,2014-15,2014,40,65+ yr,3.6,3.6
Connecticut,EIP,2014-15,2014,41,65+ yr,5.4,1.8
Connecticut,EIP,2014-15,2014,42,65+ yr,6.6,1.2
Connecticut,EIP,2014-15,2014,43,65+ yr,7.8,1.2
Connecticut,EIP,2014-15,2014,44,65+ yr,7.8,0
Connecticut,EIP,2014-15,2014,45,65+ yr,9,1.2
Connecticut,EIP,2014-15,2014,46,65+ yr,9.6,0.6
Connecticut,EIP,2014-15,2014,47,65+ yr,11.4,1.8
Connecticut,EIP,2014-15,2014,48,65+ yr,12,0.6
Connecticut,EIP,2014-15,2014,49,65+ yr,15.7,3.6
Connecticut,EIP,2014-15,2014,50,65+ yr,20.5,4.8
Connecticut,EIP,2014-15,2014,51,65+ yr,26.5,6
Connecticut,EIP,2014-15,2014,52,65+ yr,44.6,18.1
Connecticut,EIP,2014-15,2014,53,65+ yr,59.6,15.1
Connecticut,EIP,2014-15,2015,1,65+ yr,90.4,30.7
Connecticut,EIP,2014-15,2015,2,65+ yr,115,24.7
Connecticut,EIP,2014-15,2015,3,65+ yr,143.4,28.3
Connecticut,EIP,2014-15,2015,4,65+ yr,175.3,31.9
Connecticut,EIP,2014-15,2015,5,65+ yr,197,21.7
Connecticut,EIP,2014-15,2015,6,65+ yr,225.3,28.3
Connecticut,EIP,2014-15,2015,7,65+ yr,255.4,30.1
Connecticut,EIP,2014-15,2015,8,65+ yr,283.7,28.3
Connecticut,EIP,2014-15,2015,9,65+ yr,312,28.3
Connecticut,EIP,2014-15,2015,10,65+ yr,328.3,16.3
Connecticut,EIP,2014-15,2015,11,65+ yr,346.4,18.1
Connecticut,EIP,2014-15,2015,12,65+ yr,375.3,28.9
Connecticut,EIP,2014-15,2015,13,65+ yr,391.5,16.3
Connecticut,EIP,2014-15,2015,14,65+ yr,409,17.5
Connecticut,EIP,2014-15,2015,15,65+ yr,422.2,13.3
Connecticut,EIP,2014-15,2015,16,65+ yr,425.9,3.6
Connecticut,EIP,2014-15,2015,17,65+ yr,428.3,2.4
Connecticut,EIP,2015-16,2015,40,65+ yr,0.6,0.6
Connecticut,EIP,2015-16,2015,41,65+ yr,1.2,0.6
Connecticut,EIP,2015-16,2015,42,65+ yr,1.2,0
Connecticut,EIP,2015-16,2015,43,65+ yr,1.2,0
Connecticut,EIP,2015-16,2015,44,65+ yr,1.8,0.6
Connecticut,EIP,2015-16,2015,45,65+ yr,1.8,0
Connecticut,EIP,2015-16,2015,46,65+ yr,2.4,0.6
Connecticut,EIP,2015-16,2015,47,65+ yr,2.4,0
Connecticut,EIP,2015-16,2015,48,65+ yr,2.9,0.6
Connecticut,EIP,2015-16,2015,49,65+ yr,3.5,0.6
Connecticut,EIP,2015-16,2015,50,65+ yr,3.5,0
Connecticut,EIP,2015-16,2015,51,65+ yr,6.5,2.9
Connecticut,EIP,2015-16,2015,52,65+ yr,6.5,0
Connecticut,EIP,2015-16,2016,1,65+ yr,8.3,1.8
Connecticut,EIP,2015-16,2016,2,65+ yr,10.6,2.4
Connecticut,EIP,2015-16,2016,3,65+ yr,14.2,3.5
Connecticut,EIP,2015-16,2016,4,65+ yr,17.1,2.9
Connecticut,EIP,2015-16,2016,5,65+ yr,23,5.9
Connecticut,EIP,2015-16,2016,6,65+ yr,26,2.9
Connecticut,EIP,2015-16,2016,7,65+ yr,34.2,8.3
Connecticut,EIP,2015-16,2016,8,65+ yr,46.6,12.4
Connecticut,EIP,2015-16,2016,9,65+ yr,61.9,15.3
Connecticut,EIP,2015-16,2016,10,65+ yr,86.1,24.2
Connecticut,EIP,2015-16,2016,11,65+ yr,109.7,23.6
Connecticut,EIP,2015-16,2016,12,65+ yr,125,15.3
Connecticut,EIP,2015-16,2016,13,65+ yr,144.5,19.5
Connecticut,EIP,2015-16,2016,14,65+ yr,155.1,10.6
Connecticut,EIP,2015-16,2016,15,65+ yr,166.9,11.8
Connecticut,EIP,2015-16,2016,16,65+ yr,174,7.1
Connecticut,EIP,2015-16,2016,17,65+ yr,178.7,4.7
Connecticut,EIP,2016-17,2016,40,65+ yr,0.6,0.6
Connecticut,EIP,2016-17,2016,41,65+ yr,1.2,0.6
Connecticut,EIP,2016-17,2016,42,65+ yr,1.2,0
Connecticut,EIP,2016-17,2016,43,65+ yr,1.2,0
Connecticut,EIP,2016-17,2016,44,65+ yr,3.5,2.3
Connecticut,EIP,2016-17,2016,45,65+ yr,4.6,1.2
Connecticut,EIP,2016-17,2016,46,65+ yr,6.9,2.3
Connecticut,EIP,2016-17,2016,47,65+ yr,8.1,1.2
Connecticut,EIP,2016-17,2016,48,65+ yr,10.4,2.3
Connecticut,EIP,2016-17,2016,49,65+ yr,12.1,1.7
Connecticut,EIP,2016-17,2016,50,65+ yr,15,2.9
Connecticut,EIP,2016-17,2016,51,65+ yr,19.6,4.6
Connecticut,EIP,2016-17,2016,52,65+ yr,30.6,11
Connecticut,EIP,2016-17,2017,1,65+ yr,43.9,13.3
Connecticut,EIP,2016-17,2017,2,65+ yr,61.2,17.3
Connecticut,EIP,2016-17,2017,3,65+ yr,90,28.9
Connecticut,EIP,2016-17,2017,4,65+ yr,116.6,26.6
Connecticut,EIP,2016-17,2017,5,65+ yr,147.2,30.6
Connecticut,EIP,2016-17,2017,6,65+ yr,181.8,34.6
Connecticut,EIP,2016-17,2017,7,65+ yr,221.1,39.2
