Category: All categories

Week,tamiflu: (Connecticut)
2010-10-03,8
2010-10-10,8
2010-10-17,0
2010-10-24,0
2010-10-31,8
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,8
2010-12-12,0
2010-12-19,0
2010-12-26,9
2011-01-02,10
2011-01-09,0
2011-01-16,0
2011-01-23,5
2011-01-30,5
2011-02-06,10
2011-02-13,10
2011-02-20,8
2011-02-27,10
2011-03-06,15
2011-03-13,8
2011-03-20,10
2011-03-27,0
2011-04-03,10
2011-04-10,5
2011-04-17,0
2011-04-24,0
2011-05-01,0
2011-05-08,0
2011-05-15,5
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,5
2011-08-28,0
2011-09-04,0
2011-09-11,0
2011-09-18,0
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,12
2011-11-06,0
2011-11-13,4
2011-11-20,5
2011-11-27,9
2011-12-04,0
2011-12-11,0
2011-12-18,5
2011-12-25,0
2012-01-01,4
2012-01-08,0
2012-01-15,4
2012-01-22,4
2012-01-29,0
2012-02-05,4
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,4
2012-03-11,4
2012-03-18,4
2012-03-25,4
2012-04-01,4
2012-04-08,0
2012-04-15,9
2012-04-22,4
2012-04-29,4
2012-05-06,4
2012-05-13,4
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,6
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,4
2012-09-16,4
2012-09-23,0
2012-09-30,4
2012-10-07,8
2012-10-14,8
2012-10-21,6
2012-10-28,0
2012-11-04,0
2012-11-11,4
2012-11-18,8
2012-11-25,5
2012-12-02,0
2012-12-09,8
2012-12-16,13
2012-12-23,15
2012-12-30,21
2013-01-06,54
2013-01-13,100
2013-01-20,47
2013-01-27,32
2013-02-03,16
2013-02-10,12
2013-02-17,13
2013-02-24,10
2013-03-03,7
2013-03-10,7
2013-03-17,9
2013-03-24,11
2013-03-31,11
2013-04-07,10
2013-04-14,5
2013-04-21,7
2013-04-28,0
2013-05-05,4
2013-05-12,0
2013-05-19,7
2013-05-26,4
2013-06-02,4
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,4
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,4
2013-09-01,4
2013-09-08,3
2013-09-15,10
2013-09-22,0
2013-09-29,0
2013-10-06,7
2013-10-13,4
2013-10-20,3
2013-10-27,3
2013-11-03,7
2013-11-10,3
2013-11-17,5
2013-11-24,4
2013-12-01,0
2013-12-08,3
2013-12-15,7
2013-12-22,14
2013-12-29,16
2014-01-05,18
2014-01-12,16
2014-01-19,25
2014-01-26,35
2014-02-02,29
2014-02-09,8
2014-02-16,8
2014-02-23,3
2014-03-02,14
2014-03-09,15
2014-03-16,10
2014-03-23,18
2014-03-30,15
2014-04-06,24
2014-04-13,18
2014-04-20,7
2014-04-27,7
2014-05-04,7
2014-05-11,7
2014-05-18,3
2014-05-25,2
2014-06-01,2
2014-06-08,0
2014-06-15,0
2014-06-22,4
2014-06-29,0
2014-07-06,0
2014-07-13,4
2014-07-20,4
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,5
2014-08-31,9
2014-09-07,0
2014-09-14,9
2014-09-21,0
2014-09-28,9
2014-10-05,0
2014-10-12,5
2014-10-19,0
2014-10-26,5
2014-11-02,4
2014-11-09,4
2014-11-16,4
2014-11-23,10
2014-11-30,4
2014-12-07,9
2014-12-14,14
2014-12-21,32
2014-12-28,20
2015-01-04,27
2015-01-11,47
2015-01-18,53
2015-01-25,31
2015-02-01,24
2015-02-08,17
2015-02-15,13
2015-02-22,17
2015-03-01,34
2015-03-08,9
2015-03-15,18
2015-03-22,10
2015-03-29,9
2015-04-05,18
2015-04-12,10
2015-04-19,22
2015-04-26,0
2015-05-03,5
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,5
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,4
2015-07-12,0
2015-07-19,0
2015-07-26,9
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,4
2015-09-13,0
2015-09-20,0
