Category: All categories

Week,tamiflu: (Connecticut)
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,4
2015-11-08,2
2015-11-15,2
2015-11-22,0
2015-11-29,4
2015-12-06,2
2015-12-13,0
2015-12-20,5
2015-12-27,5
2016-01-03,3
2016-01-10,3
2016-01-17,2
2016-01-24,4
2016-01-31,7
2016-02-07,5
2016-02-14,7
2016-02-21,10
2016-02-28,11
2016-03-06,16
2016-03-13,18
2016-03-20,14
2016-03-27,13
2016-04-03,8
2016-04-10,8
2016-04-17,5
2016-04-24,5
2016-05-01,4
2016-05-08,3
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,2
2016-07-03,2
2016-07-10,0
2016-07-17,2
2016-07-24,2
2016-07-31,2
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,2
2016-09-18,4
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,5
2016-10-23,5
2016-10-30,2
2016-11-06,3
2016-11-13,3
2016-11-20,2
2016-11-27,2
2016-12-04,1
2016-12-11,2
2016-12-18,7
2016-12-25,10
2017-01-01,5
2017-01-08,12
2017-01-15,16
2017-01-22,18
2017-01-29,14
2017-02-05,27
2017-02-12,17
2017-02-19,18
2017-02-26,9
2017-03-05,9
2017-03-12,8
2017-03-19,4
2017-03-26,7
2017-04-02,7
2017-04-09,7
2017-04-16,3
2017-04-23,2
2017-04-30,5
2017-05-07,5
2017-05-14,2
2017-05-21,2
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,2
2017-06-25,0
2017-07-02,0
2017-07-09,2
2017-07-16,0
2017-07-23,2
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,2
2017-08-27,2
2017-09-03,2
2017-09-10,2
2017-09-17,3
2017-09-24,2
2017-10-01,2
2017-10-08,0
2017-10-15,2
2017-10-22,2
2017-10-29,2
2017-11-05,2
2017-11-12,1
2017-11-19,2
2017-11-26,5
2017-12-03,4
2017-12-10,7
2017-12-17,6
2017-12-24,14
2017-12-31,17
2018-01-07,35
2018-01-14,37
2018-01-21,92
2018-01-28,100
2018-02-04,87
2018-02-11,89
2018-02-18,55
2018-02-25,35
2018-03-04,22
2018-03-11,17
2018-03-18,9
2018-03-25,12
2018-04-01,10
2018-04-08,9
2018-04-15,6
2018-04-22,4
2018-04-29,5
2018-05-06,1
2018-05-13,1
2018-05-20,4
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,5
2018-07-08,2
2018-07-15,3
2018-07-22,0
2018-07-29,0
2018-08-05,3
2018-08-12,0
2018-08-19,2
2018-08-26,0
2018-09-02,0
2018-09-09,1
2018-09-16,0
2018-09-23,2
2018-09-30,2
